sample_id,source,ionizable_lipid,helper_lipid,cell_line,cargo,CHL_mol_pct,HL_mol_pct,PEG_mol_pct,IL_mol_pct,Frac_sp3C,NP_ratio,size_nm,zeta_mV,PDI,pKa,MW_IL,n_amines,transfection_pct,efficacy_binary,efficacy_label
LNP_00024,Jayaraman2012,OF-02,DSPE,HeLa,mRNA,39.68,13.72,2.5,44.11,0.5061,5.67,83.9,-5.89,0.0876,6.26,596.2,1,60.15,1,High
LNP_00025,Hassett2019,SM-102,DSPE,RAW264.7,siRNA,40.87,12.45,3.29,43.39,0.4716,17.39,105.2,-16.54,0.1134,6.76,814.4,3,20.75,0,Low
LNP_00026,Dahlman2014,DOTAP,DSPC,PC3,mRNA,43.47,13.99,3.79,38.75,0.5671,3.33,133.8,-13.31,0.1452,5.86,547.3,3,8.94,0,Low
LNP_00027,Li2015,Lipid5,DSPE,RAW264.7,siRNA,38.64,15.31,2.55,43.49,0.7659,2.49,84.4,-12.51,0.1288,5.64,678.0,2,49.97,0,Low
LNP_00028,Li2015,L319,DOPE,Huh7,ASO,40.55,11.4,1.67,46.37,0.6839,3.58,157.4,-12.44,0.1785,5.21,771.7,1,38.55,0,Low
LNP_00029,Hassett2019,DLin-MC3-DMA,DSPC,PC3,mRNA,41.81,10.19,1.53,46.47,0.6372,7.71,114.1,-8.8,0.1723,6.56,749.2,2,68.97,1,High
LNP_00030,Moderna2021,Lipid5,DOPE,HeLa,mRNA,37.99,17.83,1.75,42.43,0.3785,5.55,58.8,2.11,0.1512,6.96,507.9,4,46.65,0,Low
LNP_00031,Sabnis2018,IM23,DSPC,HEK293,siRNA,39.71,14.95,1.83,43.51,0.6948,5.36,50.0,-16.49,0.1499,7.26,674.0,2,47.37,0,Low
LNP_00032,Semple2010,MC3,DPPC,MCF7,siRNA,42.94,16.06,1.35,39.65,0.4342,4.38,94.5,-18.63,0.0759,5.87,611.7,2,46.22,0,Low
LNP_00033,Hassett2019,Lipid5,DOPC,RAW264.7,pDNA,34.31,12.79,1.44,51.46,0.6656,9.89,83.8,11.13,0.0858,5.94,650.6,1,46.23,0,Low
LNP_00034,Hassett2019,IM23,DSPE,HEK293,pDNA,34.29,15.36,1.21,49.14,0.353,4.63,166.9,-13.41,0.0956,7.43,818.3,2,36.86,0,Low
LNP_00035,Whitehead2014,ALC-0315,DSPE,PC3,mRNA,39.98,16.64,1.26,42.11,0.8203,5.96,118.5,-8.2,0.1067,5.96,506.6,2,75.73,1,High
LNP_00036,Jayaraman2012,DODAP,DOPC,HeLa,mRNA,42.67,14.89,3.35,39.1,0.5353,4.68,147.1,-2.6,0.2043,5.96,451.0,2,54.28,1,High
LNP_00037,Kulkarni2019,Lipid5,DPPC,Jurkat,pDNA,50.24,15.61,1.0,33.16,0.6988,9.08,131.5,-12.51,0.1617,7.02,488.2,4,48.2,0,Low
LNP_00038,Hassett2019,IM23,DSPC,Huh7,mRNA,40.41,13.86,2.6,43.12,0.5123,4.04,66.9,-4.72,0.114,6.94,730.9,4,67.84,1,High
LNP_00039,Kauffman2015,MC3,DSPC,PC3,siRNA,35.53,14.68,1.8,48.0,0.2551,2.55,93.4,-1.84,0.0804,6.27,809.3,3,39.01,0,Low
LNP_00040,Whitehead2014,FTT5,DPPC,Huh7,siRNA,33.46,13.37,1.24,51.93,0.6038,5.49,101.1,4.09,0.2122,7.01,627.7,1,42.19,0,Low
LNP_00041,Kulkarni2019,MC3,DOPC,HeLa,siRNA,40.21,13.58,1.91,44.3,0.737,2.87,103.0,-14.4,0.067,6.66,419.5,2,47.51,1,High
LNP_00042,Sabnis2018,DLin-MC3-DMA,DSPC,RAW264.7,pDNA,48.67,18.69,1.96,30.68,0.4881,3.96,90.5,-5.26,0.1576,5.42,484.7,2,9.05,0,Low
LNP_00043,Patel2017,SM-102,DOPE,Huh7,pDNA,34.89,14.37,2.02,48.72,0.746,3.7,181.7,-6.64,0.1396,5.78,528.0,2,47.84,0,Low
LNP_00044,Oberli2017,cKK-E12,DSPC,MCF7,mRNA,39.82,12.32,1.21,46.65,0.7179,4.02,69.5,-5.96,0.1179,6.19,453.3,1,42.97,0,Low
LNP_00045,Semple2010,IM23,DPPC,Jurkat,siRNA,42.4,9.74,1.09,46.77,0.6879,3.37,69.6,-8.55,0.1338,6.19,781.1,2,42.81,0,Low
LNP_00046,BioNTech2021,cKK-E12,DOPC,HeLa,mRNA,38.43,13.51,1.48,46.59,0.6439,2.09,58.9,-6.02,0.0721,5.63,746.4,2,21.29,0,Low
LNP_00047,BioNTech2021,FTT5,DOPE,A549,pDNA,45.52,12.11,1.13,41.24,0.4564,3.56,68.3,-6.08,0.1002,6.31,787.3,2,14.51,0,Low
LNP_00048,Jayaraman2012,SM-102,DOPC,Jurkat,mRNA,45.46,9.8,1.52,43.22,0.5972,3.72,83.0,3.19,0.3072,6.19,605.0,3,30.41,0,Low
LNP_00049,Dahlman2014,cKK-E12,DSPC,RAW264.7,ASO,35.4,21.27,1.04,42.28,0.6077,3.74,75.9,-20.23,0.1341,6.33,475.7,1,56.28,0,Low
LNP_00050,Semple2010,L319,DSPE,RAW264.7,mRNA,43.31,12.89,0.75,43.06,0.6672,4.11,66.1,-4.03,0.1784,6.47,384.8,1,48.95,0,Low
LNP_00051,Li2015,A2-Iso5-2DC18,DOPC,Huh7,siRNA,44.01,10.6,1.59,43.81,0.5208,4.94,102.9,-4.13,0.2361,5.56,601.0,1,36.6,0,Low
LNP_00052,Jayaraman2012,DOTAP,DSPC,RAW264.7,siRNA,40.24,9.31,2.26,48.19,0.6842,1.29,85.9,-12.88,0.1844,5.39,761.8,2,29.2,0,Low
LNP_00053,Jayaraman2012,OF-02,DPPC,HEK293,siRNA,36.83,11.99,2.52,48.66,0.5958,3.94,85.7,-0.47,0.1344,5.79,440.0,4,29.53,0,Low
LNP_00054,Li2015,OF-02,DSPE,Jurkat,mRNA,46.95,16.35,1.12,35.59,0.515,4.16,102.7,-8.7,0.0792,6.39,677.8,3,19.64,0,Low
LNP_00055,Dahlman2014,A2-Iso5-2DC18,DSPE,PC3,mRNA,36.03,10.46,1.35,52.16,0.6501,4.93,118.9,-9.01,0.0896,6.21,708.1,2,58.44,1,High
LNP_00056,Moderna2021,Lipid5,DOPC,PC3,pDNA,38.39,14.24,0.7,46.66,0.6144,4.54,145.2,-15.25,0.1278,6.09,674.1,2,39.3,0,Low
LNP_00057,Hassett2019,OF-02,DSPE,HeLa,mRNA,43.61,19.67,0.96,35.76,0.4344,3.32,91.7,-11.8,0.0948,6.92,650.3,2,47.93,0,Low
LNP_00058,BioNTech2021,FTT5,DOPE,Huh7,ASO,45.31,13.05,1.05,40.59,0.3242,8.06,75.0,3.76,0.0675,6.39,784.1,2,56.73,1,High
LNP_00059,Miao2020,LP01,DSPC,HEK293,mRNA,47.35,12.24,2.16,38.25,0.2791,6.53,69.0,-12.98,0.1385,6.71,610.8,2,26.54,0,Low
LNP_00060,Kulkarni2019,LP01,DOPC,Jurkat,pDNA,37.93,13.69,1.17,47.21,0.5096,12.33,88.2,-5.28,0.1029,6.96,636.8,1,28.99,0,Low
LNP_00061,Moderna2021,ALC-0315,DSPE,MCF7,pDNA,46.53,12.65,2.56,38.25,0.7213,7.72,121.6,-0.02,0.2188,6.63,681.8,4,29.8,0,Low
LNP_00062,Jayaraman2012,Lipid5,DOPE,RAW264.7,ASO,41.49,16.65,1.37,40.49,0.3921,7.45,117.1,5.12,0.1239,6.53,627.0,3,58.36,1,High
LNP_00063,Miao2020,C12-200,DOPC,Jurkat,mRNA,41.6,9.78,1.53,47.09,0.6639,11.51,58.2,-3.74,0.133,6.9,698.7,3,34.62,0,Low
LNP_00064,Whitehead2014,DODAP,DSPC,HEK293,ASO,32.67,11.39,0.91,55.04,0.5018,5.51,80.0,1.08,0.0967,5.87,834.3,2,55.36,1,High
LNP_00065,Moderna2021,ALC-0315,DOPC,HEK293,mRNA,42.46,10.87,2.77,43.9,0.442,2.44,136.5,-4.54,0.1276,6.63,701.3,2,28.17,0,Low
LNP_00066,Patel2017,IM23,DOPC,A549,siRNA,39.9,12.74,0.88,46.47,0.549,5.24,114.6,-9.8,0.2631,5.76,792.0,4,47.99,0,Low
LNP_00067,Fenton2016,DODAP,DSPC,HEK293,siRNA,52.36,17.78,1.57,28.29,0.5072,3.12,73.0,-4.74,0.0823,5.87,625.1,1,23.18,0,Low
LNP_00068,Miao2020,cKK-E12,DSPC,HeLa,mRNA,36.28,13.18,0.65,49.89,0.2789,2.86,77.5,-4.65,0.0715,6.81,632.9,4,55.36,1,High
LNP_00069,Jayaraman2012,ALC-0315,DSPC,MCF7,siRNA,36.72,15.85,1.32,46.11,0.6894,2.45,83.1,-2.33,0.0976,5.88,580.4,3,54.01,1,High
LNP_00070,BioNTech2021,Lipid5,DOPE,HEK293,mRNA,44.53,11.48,3.22,40.78,0.5596,7.3,56.2,-18.13,0.1469,6.03,377.0,2,34.18,0,Low
LNP_00071,Moderna2021,SM-102,DSPE,RAW264.7,pDNA,33.19,13.03,2.42,51.35,0.5927,3.0,167.0,-5.38,0.1237,7.14,509.9,2,49.58,1,High
LNP_00072,Sabnis2018,DODAP,DSPE,MCF7,mRNA,39.33,14.52,2.86,43.29,0.6609,3.83,146.0,-3.95,0.1994,5.91,935.2,4,54.54,1,High
LNP_00073,Fenton2016,DOTAP,DOPC,MCF7,pDNA,40.34,14.49,0.69,44.48,0.5267,5.35,110.4,0.73,0.1597,6.32,568.1,2,37.56,0,Low
LNP_00074,Li2015,MC3,DOPC,RAW264.7,siRNA,42.78,13.58,1.17,42.46,0.4627,5.04,120.3,-1.96,0.2398,6.79,625.9,2,20.98,0,Low
LNP_00075,Sabnis2018,LP01,DSPE,RAW264.7,mRNA,33.97,16.09,1.03,48.91,0.6688,3.93,66.0,1.32,0.1622,6.68,890.3,1,70.98,1,High
LNP_00076,Whitehead2014,A2-Iso5-2DC18,DSPE,Huh7,siRNA,44.34,10.53,1.03,44.1,0.742,3.58,118.6,-3.63,0.2112,5.74,664.5,2,40.14,0,Low
LNP_00077,Patel2017,LP01,DSPE,A549,pDNA,47.9,16.63,1.44,34.03,0.6254,8.89,95.7,3.07,0.1193,6.58,609.8,2,35.24,0,Low
LNP_00078,Semple2010,OF-02,DSPE,RAW264.7,ASO,40.45,11.27,1.82,46.46,0.4468,2.86,107.5,-7.99,0.1041,6.44,800.3,2,45.8,1,High
LNP_00079,Whitehead2014,cKK-E12,DOPE,PC3,siRNA,31.68,12.28,2.34,53.7,0.5899,7.22,155.3,-11.69,0.1489,6.84,508.1,2,42.28,0,Low
LNP_00080,BioNTech2021,DOTAP,DOPE,HEK293,pDNA,50.65,18.74,2.31,28.3,0.3153,5.31,108.1,5.0,0.0993,6.6,680.8,1,50.37,0,Low
LNP_00081,BioNTech2021,DLin-MC3-DMA,DPPC,MCF7,pDNA,50.39,12.44,2.74,34.44,0.7352,5.43,164.9,-3.1,0.152,6.34,621.2,2,32.94,0,Low
LNP_00082,Patel2017,C12-200,DPPC,Jurkat,mRNA,36.44,11.74,1.32,50.5,0.6544,6.37,69.0,0.17,0.0981,7.62,652.9,2,51.04,0,Low
LNP_00083,Jayaraman2012,cKK-E12,DOPE,Jurkat,mRNA,43.54,9.34,1.43,45.69,0.658,4.22,92.3,-18.07,0.1239,6.11,512.4,3,47.33,0,Low
LNP_00084,Kauffman2015,DOTAP,DPPC,HEK293,mRNA,50.07,8.81,1.35,39.77,0.4739,5.14,50.0,-11.14,0.0638,6.01,888.8,3,17.28,0,Low
LNP_00085,Moderna2021,A2-Iso5-2DC18,DOPE,RAW264.7,ASO,39.08,12.37,1.03,47.51,0.5937,2.78,139.9,-2.37,0.0909,6.54,614.1,2,78.37,1,High
LNP_00086,Miao2020,DODAP,DOPE,A549,pDNA,45.13,11.02,1.95,41.89,0.3252,3.72,119.3,-4.53,0.085,7.35,796.3,2,38.62,0,Low
LNP_00087,Hassett2019,DODAP,DSPC,PC3,siRNA,36.62,10.13,2.18,51.07,0.4325,5.59,125.3,1.52,0.2966,6.85,609.3,3,36.21,0,Low
LNP_00088,Moderna2021,DLin-MC3-DMA,DPPC,A549,pDNA,43.5,14.43,0.84,41.23,0.7236,8.79,119.7,-11.48,0.116,6.59,554.7,2,62.14,1,High
LNP_00089,Oberli2017,IM23,DOPE,MCF7,pDNA,41.04,17.66,1.19,40.12,0.834,5.21,80.4,-21.22,0.0768,6.13,745.0,3,58.22,1,High
LNP_00090,Jayaraman2012,Lipid5,DSPE,RAW264.7,siRNA,41.28,12.65,1.93,44.14,0.8043,3.98,59.8,-5.99,0.1427,6.24,713.8,3,72.98,1,High
LNP_00091,Whitehead2014,MC3,DSPE,PC3,pDNA,44.31,22.69,1.79,31.21,0.4711,4.41,88.0,-2.12,0.184,5.75,572.5,3,2.47,0,Low
LNP_00092,Whitehead2014,DLin-MC3-DMA,DSPE,A549,pDNA,41.52,11.99,1.76,44.72,0.2623,2.87,59.9,-7.26,0.1214,6.68,586.2,2,31.4,0,Low
LNP_00093,Oberli2017,DOTAP,DSPC,PC3,mRNA,45.58,14.58,1.48,38.36,0.3937,1.51,123.2,-4.13,0.1785,6.9,759.8,3,41.87,0,Low
LNP_00094,Fenton2016,MC3,DOPC,A549,pDNA,43.36,19.03,1.86,35.75,0.5207,7.82,104.8,-9.21,0.168,6.77,753.3,2,39.08,0,Low
LNP_00095,Dahlman2014,C12-200,DOPC,Huh7,siRNA,32.52,13.66,1.49,52.33,0.4815,5.2,77.4,-8.88,0.1577,6.9,481.1,3,54.23,1,High
LNP_00096,Whitehead2014,OF-02,DSPC,HEK293,siRNA,42.58,11.98,2.57,42.87,0.6319,3.28,92.9,-10.43,0.1477,6.62,775.1,2,46.78,0,Low
LNP_00097,Patel2017,LP01,DSPE,HEK293,pDNA,45.34,14.03,1.72,38.91,0.4896,6.47,116.4,-10.38,0.1072,5.8,685.3,1,38.33,0,Low
LNP_00098,Oberli2017,OF-02,DOPC,HeLa,pDNA,45.31,15.5,1.42,37.77,0.4015,2.96,142.0,-9.18,0.1959,7.15,659.3,1,23.9,0,Low
LNP_00099,Li2015,IM23,DPPC,HEK293,pDNA,45.29,12.94,1.43,40.35,0.5792,4.44,80.8,-4.2,0.1291,5.95,787.4,3,59.56,1,High
LNP_00100,Moderna2021,cKK-E12,DPPC,A549,siRNA,44.57,11.75,1.93,41.75,0.4346,5.03,91.1,0.23,0.1516,5.36,637.6,4,30.85,0,Low
LNP_00101,Patel2017,L319,DSPE,RAW264.7,ASO,39.22,11.61,2.57,46.6,0.5957,3.65,77.5,7.66,0.1608,6.26,539.4,2,52.96,0,Low
LNP_00102,Kulkarni2019,DOTAP,DSPC,HEK293,pDNA,42.42,17.36,2.66,37.56,0.5329,6.98,136.4,-14.53,0.1916,6.36,893.4,3,47.35,0,Low
LNP_00103,Kauffman2015,IM23,DSPC,HeLa,pDNA,40.02,14.6,2.23,43.15,0.3725,3.35,67.9,-7.76,0.0672,6.13,670.7,2,63.98,1,High
LNP_00104,Fenton2016,Lipid5,DSPC,HeLa,pDNA,45.04,18.58,0.92,35.47,0.5537,4.92,133.2,-17.34,0.1466,5.64,697.3,2,9.11,0,Low
LNP_00105,Li2015,DLin-MC3-DMA,DSPE,HeLa,mRNA,42.87,12.87,2.16,42.1,0.5018,5.11,78.1,-2.04,0.1926,6.49,501.9,4,52.13,0,Low
LNP_00106,Kauffman2015,A2-Iso5-2DC18,DOPC,A549,siRNA,46.04,14.15,0.94,38.87,0.5362,3.06,111.2,0.63,0.3283,6.33,516.4,3,28.06,0,Low
LNP_00107,Kulkarni2019,C12-200,DOPE,HeLa,pDNA,39.91,17.37,1.8,40.93,0.6376,5.39,96.8,-2.03,0.1676,5.66,577.8,2,50.31,1,High
LNP_00108,Li2015,FTT5,DPPC,A549,siRNA,42.5,10.37,1.13,46.0,0.6228,6.5,66.1,-7.26,0.1377,5.47,579.5,3,25.85,0,Low
LNP_00109,Semple2010,MC3,DSPC,HeLa,siRNA,40.02,15.55,2.38,42.06,0.5871,14.44,95.5,-5.06,0.1444,6.46,783.2,4,39.68,1,High
LNP_00110,Hassett2019,IM23,DSPC,MCF7,pDNA,49.67,11.88,0.88,37.57,0.4772,4.07,127.5,-4.52,0.1,6.25,621.0,2,23.66,0,Low
LNP_00111,Hassett2019,cKK-E12,DOPC,A549,siRNA,49.83,12.5,1.54,36.13,0.6028,5.19,112.0,-21.69,0.1145,6.48,675.6,3,35.1,0,Low
LNP_00112,Patel2017,DLin-MC3-DMA,DOPC,MCF7,mRNA,35.21,11.25,2.06,51.48,0.7066,5.93,103.6,-7.11,0.1378,5.32,692.1,2,44.71,0,Low
LNP_00113,Whitehead2014,L319,DSPC,HEK293,siRNA,36.66,15.49,1.49,46.35,0.592,4.74,84.1,6.66,0.123,7.03,804.7,2,45.02,1,High
LNP_00114,Dahlman2014,MC3,DSPE,HEK293,mRNA,36.66,15.09,2.41,45.84,0.8242,5.45,54.3,-13.25,0.0913,7.57,732.7,4,43.95,1,High
LNP_00115,Moderna2021,SM-102,DPPC,Jurkat,mRNA,31.57,18.56,0.59,49.28,0.6288,16.71,67.4,-12.45,0.1335,7.85,1006.5,2,4.34,0,Low
LNP_00116,Li2015,IM23,DSPC,Jurkat,mRNA,46.92,15.52,2.68,34.87,0.6059,4.01,72.8,-0.02,0.167,6.2,524.5,2,71.0,1,High
LNP_00117,Moderna2021,ALC-0315,DOPE,A549,siRNA,31.35,20.04,1.49,47.12,0.6913,2.38,80.7,15.48,0.1375,6.56,698.3,2,52.49,1,High
LNP_00118,Whitehead2014,Lipid5,DSPC,Jurkat,pDNA,37.06,16.68,1.93,44.33,0.4714,5.34,73.3,-7.59,0.0566,6.45,807.4,2,63.63,1,High
LNP_00119,Semple2010,Lipid5,DPPC,PC3,mRNA,41.64,12.31,1.51,44.54,0.7496,9.88,94.0,1.22,0.1342,7.2,452.0,3,41.49,1,High
LNP_00120,Moderna2021,IM23,DOPC,RAW264.7,siRNA,37.89,10.68,1.56,49.87,0.6617,8.89,82.6,-6.33,0.1965,6.27,610.3,2,46.12,0,Low
LNP_00121,Dahlman2014,A2-Iso5-2DC18,DOPE,HeLa,pDNA,40.29,10.24,1.78,47.68,0.3989,6.56,115.6,-6.49,0.2213,6.65,819.0,2,47.38,0,Low
LNP_00122,Fenton2016,cKK-E12,DOPC,Jurkat,pDNA,32.1,12.35,1.46,54.09,0.6144,11.11,143.5,-5.31,0.1869,6.93,773.8,2,47.99,0,Low
LNP_00123,BioNTech2021,DOTAP,DOPC,HeLa,pDNA,45.86,15.45,0.77,37.92,0.3901,2.69,78.8,-2.54,0.0682,6.24,657.6,2,30.04,0,Low
LNP_00124,Moderna2021,L319,DSPC,Jurkat,mRNA,42.01,11.59,0.86,45.54,0.7495,3.16,71.3,8.41,0.0797,7.75,645.9,2,22.9,0,Low
LNP_00125,Miao2020,C12-200,DSPE,HEK293,pDNA,39.14,16.84,1.52,42.5,0.6246,2.98,89.2,3.34,0.0842,5.59,602.0,3,58.43,1,High
LNP_00126,Miao2020,DOTAP,DSPC,MCF7,mRNA,50.71,15.41,2.88,31.0,0.6306,6.48,143.9,7.49,0.0953,6.58,531.0,4,27.77,0,Low
LNP_00127,Jayaraman2012,FTT5,DOPE,HEK293,siRNA,38.21,15.39,2.02,44.38,0.2994,4.78,99.6,0.11,0.1677,7.14,599.9,2,40.43,1,High
LNP_00128,Moderna2021,C12-200,DOPE,A549,mRNA,50.51,13.15,1.26,35.08,0.4729,3.8,114.5,-16.95,0.2269,7.38,667.8,3,15.44,0,Low
LNP_00129,Whitehead2014,ALC-0315,DSPE,Jurkat,mRNA,35.33,15.58,1.47,47.62,0.4123,6.05,171.7,-0.52,0.1233,7.03,611.2,2,37.45,0,Low
LNP_00130,Oberli2017,L319,DOPC,HeLa,pDNA,33.89,12.78,1.31,52.02,0.7707,3.53,116.2,-8.92,0.2093,4.95,930.1,2,27.13,0,Low
LNP_00131,Whitehead2014,IM23,DPPC,HEK293,mRNA,46.59,10.16,2.19,41.07,0.4625,2.52,134.0,5.9,0.1817,6.06,624.3,4,47.16,1,High
LNP_00132,Semple2010,L319,DPPC,HEK293,siRNA,38.14,9.16,2.05,50.65,0.7305,2.7,116.0,-17.77,0.1951,5.75,600.6,2,54.59,1,High
LNP_00133,Kulkarni2019,ALC-0315,DPPC,HeLa,mRNA,43.18,13.6,1.31,41.91,0.722,1.87,113.2,3.23,0.1728,5.3,780.4,1,32.98,0,Low
LNP_00134,Kauffman2015,cKK-E12,DPPC,A549,mRNA,45.62,10.48,3.24,40.66,0.7016,7.8,90.7,-9.39,0.1263,6.97,574.0,1,41.96,0,Low
LNP_00135,Fenton2016,SM-102,DSPC,Huh7,pDNA,47.03,17.9,1.68,33.38,0.5872,2.06,67.2,-11.72,0.2628,5.84,804.5,2,35.2,0,Low
LNP_00136,Li2015,LP01,DOPC,HeLa,mRNA,38.42,14.62,0.87,46.09,0.6001,6.48,81.3,-12.59,0.1695,6.03,650.4,2,41.54,0,Low
LNP_00137,Jayaraman2012,L319,DPPC,Huh7,siRNA,42.28,11.29,1.56,44.87,0.7617,4.35,86.2,3.11,0.2003,6.26,623.0,1,53.35,1,High
LNP_00138,Whitehead2014,Lipid5,DSPE,HEK293,mRNA,42.25,11.76,0.99,45.0,0.6044,11.21,156.4,3.14,0.0559,6.47,776.9,2,34.56,0,Low
LNP_00139,Kulkarni2019,DLin-MC3-DMA,DOPE,HeLa,siRNA,31.95,17.48,0.96,49.6,0.5382,2.49,72.7,-2.89,0.129,6.8,511.0,2,56.02,1,High
LNP_00140,Li2015,L319,DOPE,Huh7,mRNA,42.52,13.86,3.25,40.37,0.5915,1.0,117.0,-11.26,0.209,7.41,571.5,3,26.77,0,Low
LNP_00141,Sabnis2018,L319,DOPC,A549,siRNA,45.23,21.23,1.6,31.94,0.566,4.14,89.9,-4.23,0.1634,5.86,640.0,1,45.41,0,Low
LNP_00142,Semple2010,L319,DSPE,HEK293,ASO,45.19,19.01,0.66,35.14,0.5303,2.36,103.4,-10.42,0.0598,5.63,723.1,1,21.36,0,Low
LNP_00143,Sabnis2018,DODAP,DSPC,A549,siRNA,44.04,11.76,1.33,42.88,0.7718,1.9,68.8,-6.97,0.1448,6.43,467.5,3,41.06,0,Low
LNP_00144,Jayaraman2012,DLin-MC3-DMA,DOPE,HeLa,siRNA,43.72,18.69,2.16,35.43,0.552,3.17,83.8,-1.14,0.2265,5.58,397.1,1,33.14,0,Low
LNP_00145,Miao2020,OF-02,DOPC,Huh7,mRNA,45.47,15.41,1.07,38.06,0.4126,7.1,95.3,-15.87,0.1723,5.55,485.2,3,27.13,0,Low
LNP_00146,Jayaraman2012,IM23,DOPC,HeLa,mRNA,38.65,13.95,2.77,44.63,0.4794,20.0,124.3,-8.85,0.0773,5.85,782.5,1,7.93,0,Low
LNP_00147,Moderna2021,DOTAP,DOPE,HeLa,ASO,49.43,11.4,1.88,37.28,0.4404,12.19,107.4,-12.34,0.2999,8.02,843.9,1,10.95,0,Low
