record_id,source,ionizable_lipid,helper_lipid,peg_lipid,cell_line,cargo_type,CHL_mol_pct,HL_mol_pct,PEG_mol_pct,IL_mol_pct,size_nm,PDI,zeta_mV,encap_eff_pct,N_P_ratio,Frac_sp3C,MW_Da,logP,HBD,HBA,pKa,TPSA,RotBonds,AromaticRings,efficacy_binary,efficacy_class,transfection_prob
LNPDB_00010,Sabnis2018,BAMEA-O16B,DPPC,DSPE-PEG2000,HepG2,saRNA,37.22,10.53,2.41,49.85,68.6,0.339,-2.3,91.6,4.17,0.875,669.5,7.67,1,5,6.22,38.5,5,2,0,Low,0.3321
LNPDB_00011,Miao2020,SM-102,DOPE,DMG-PEG2000,HepG2,mRNA,37.21,11.04,2.77,48.98,118.3,0.171,-2.4,66.8,13.44,0.708,701.8,8.0,2,7,6.92,72.1,14,2,0,Low,0.4798
LNPDB_00012,Kulkarni2021,Lipid5,DSPE,DSPE-PEG2000,Huh7,mRNA,41.45,5.63,3.28,49.64,127.6,0.094,3.3,82.7,9.59,0.499,537.8,8.7,2,3,7.61,41.3,12,2,0,Low,0.3568
LNPDB_00013,Semple2010,cKK-E12,DOPE,C14-PEG2000,NIH3T3,mRNA,28.52,11.27,3.16,57.05,121.7,0.366,1.8,67.0,6.22,0.704,733.8,6.6,0,2,6.86,52.8,11,1,0,Low,0.2538
LNPDB_00014,Sabnis2018,C12-200,DSPC,DMG-PEG2000,HepG2,mRNA,29.65,11.59,1.63,57.13,225.4,0.313,-6.1,64.6,6.56,0.469,595.2,5.69,1,6,7.47,84.9,16,0,0,Very Low,0.1466
LNPDB_00015,Maier2013,A2-Iso5-2DC18,DOPC,DSPE-PEG2000,Huh7,mRNA,36.63,8.8,2.51,52.06,76.0,0.087,0.4,83.8,3.99,0.429,689.5,6.5,3,2,6.35,36.7,15,1,1,Very High,0.7657
LNPDB_00016,Maier2013,DLin-MC3-DMA,DOPC,C14-PEG2000,NIH3T3,saRNA,33.92,16.26,1.76,48.06,111.7,0.13,-2.6,81.4,3.02,0.875,696.4,6.23,3,2,6.93,78.0,11,1,0,Low,0.4118
LNPDB_00017,Kulkarni2021,cKK-E12,DPPC,DMG-PEG2000,RAW264.7,siRNA,41.89,3.13,1.88,53.1,97.9,0.189,-7.2,86.8,7.08,0.517,622.3,8.99,2,4,6.19,54.4,11,2,0,Very Low,0.0832
LNPDB_00018,Kulkarni2021,FTT5,DSPC,C14-PEG2000,HeLa,siRNA,34.55,12.35,1.13,51.96,120.5,0.328,-0.7,82.8,2.74,0.719,527.0,4.81,1,3,6.5,59.3,7,0,1,High,0.7388
LNPDB_00019,Sabnis2018,cKK-E12,DOPC,C14-PEG2000,MCF7,saRNA,31.53,12.14,2.61,53.73,111.9,0.256,6.0,66.8,6.17,0.3,659.4,8.75,3,3,4.5,72.0,10,2,0,Very Low,0.1482
LNPDB_00020,Kauffman2015,cKK-E12,DPPC,DSPE-PEG2000,HUVEC,saRNA,48.79,11.62,1.07,38.51,85.6,0.135,-0.7,84.2,2.29,0.461,599.5,7.79,2,5,6.35,72.2,11,1,0,Low,0.2963
LNPDB_00021,Billingsley2020,cKK-E12,DOPC,DSPE-PEG2000,Huh7,mRNA,38.65,10.53,2.82,48.01,112.3,0.394,2.1,84.8,7.22,0.447,729.9,7.48,2,6,5.18,56.6,8,1,1,High,0.5238
LNPDB_00022,Kulkarni2021,cKK-E12,DPPC,DSPE-PEG2000,RAW264.7,mRNA,40.41,11.65,3.59,44.36,102.5,0.177,6.0,88.1,5.15,0.679,503.7,11.46,1,2,6.75,56.5,16,0,1,Very High,0.9188
LNPDB_00023,Kauffman2015,cKK-E12,DOPC,C14-PEG2000,NIH3T3,mRNA,31.45,12.6,2.92,53.02,103.9,0.05,1.0,79.0,3.32,0.775,572.8,9.98,0,7,8.13,64.8,14,0,0,Low,0.4531
LNPDB_00024,Jayaraman2012,cKK-E12,DSPE,C14-PEG2000,HeLa,siRNA,36.73,7.82,2.54,52.9,140.5,0.05,6.1,65.5,6.21,0.3,658.3,8.85,0,4,7.57,62.1,10,0,0,Low,0.2652
LNPDB_00025,Dahlman2017,A2-Iso5-2DC18,DOPE,DMG-PEG2000,HepG2,siRNA,40.67,10.9,3.73,44.71,210.5,0.35,-0.7,80.5,8.83,0.635,633.3,8.4,3,5,5.85,37.8,18,1,0,Very Low,0.1129
LNPDB_00026,Fenton2016,DODAP,DOPE,DSPE-PEG2000,Huh7,mRNA,33.09,9.45,2.76,54.69,56.3,0.06,-15.8,86.6,9.75,0.6,695.3,11.25,1,2,4.68,76.8,18,1,0,Low,0.2968
LNPDB_00027,Semple2010,Lipid9,DOPE,C14-PEG2000,RAW264.7,mRNA,42.25,6.72,1.81,49.22,147.2,0.142,-15.6,89.7,10.3,0.511,720.4,8.41,2,4,6.17,76.3,8,1,0,Very Low,0.229
LNPDB_00028,Fenton2016,Lipid9,DOPC,C14-PEG2000,HUVEC,mRNA,36.4,12.15,2.6,48.85,121.3,0.125,-2.9,87.4,3.76,0.767,525.1,7.6,2,2,6.75,67.8,13,0,1,High,0.7166
LNPDB_00029,Maier2013,MC3,DSPE,DMG-PEG2000,NIH3T3,mRNA,38.25,8.31,4.07,49.38,80.1,0.05,-12.6,50.0,9.67,0.665,737.7,7.78,3,3,6.65,61.8,10,2,1,High,0.6711
LNPDB_00030,Maier2013,BAMEA-O16B,DPPC,DSPE-PEG2000,HepG2,siRNA,36.39,5.51,1.63,56.48,89.7,0.142,-8.2,85.8,11.25,0.771,666.9,7.64,3,2,7.0,82.9,16,2,0,Low,0.4632
LNPDB_00031,Sabnis2018,Lipid5,DOPE,DMG-PEG2000,NIH3T3,siRNA,51.11,8.38,1.4,39.11,130.3,0.181,-16.8,93.3,4.85,0.82,606.2,9.08,2,3,6.35,47.1,17,0,0,Low,0.3787
LNPDB_00032,BioNTech2021,DOTAP,DOPC,DSPE-PEG2000,A549,mRNA,39.92,7.6,2.99,49.49,101.5,0.179,-13.1,85.6,3.22,0.653,699.9,6.21,2,2,7.75,77.9,11,2,0,Low,0.3469
LNPDB_00033,Hassett2019,DODAP,DSPC,DSPE-PEG2000,MCF7,mRNA,33.65,13.09,2.32,50.94,98.5,0.15,2.8,94.8,9.05,0.713,625.8,6.87,0,4,6.49,62.9,5,0,1,High,0.6791
LNPDB_00034,Patel2017,Lipid9,DOPC,DMG-PEG2000,RAW264.7,siRNA,44.94,10.46,2.07,42.53,81.4,0.149,13.4,69.2,7.25,0.768,722.9,6.84,1,5,6.46,72.7,13,1,1,Very High,0.7723
LNPDB_00035,Fenton2016,Lipid5,DSPE,C14-PEG2000,Huh7,siRNA,32.67,14.15,1.49,51.69,79.6,0.329,13.4,89.1,6.69,0.863,636.2,8.74,2,3,6.99,58.9,13,1,1,High,0.5427
LNPDB_00036,BioNTech2021,DODAP,DPPC,DSPE-PEG2000,HUVEC,mRNA,41.25,8.0,0.94,49.81,74.8,0.05,8.3,92.7,4.14,0.811,570.1,5.68,0,6,8.22,22.8,9,1,1,Very High,0.7643
LNPDB_00037,Sabnis2018,Lipid9,DOPC,DMG-PEG2000,RAW264.7,siRNA,28.24,12.62,1.33,57.8,85.8,0.212,-3.3,78.1,9.12,0.621,409.7,7.36,0,6,7.12,58.6,12,1,0,Very Low,0.1744
LNPDB_00038,Kauffman2015,SM-102,DSPC,DMG-PEG2000,HeLa,mRNA,32.03,18.52,3.79,45.66,96.2,0.086,-13.2,86.1,6.72,0.415,683.9,7.84,2,7,7.22,64.7,7,2,0,Very Low,0.0568
LNPDB_00039,Sabnis2018,Lipid5,DSPE,DMG-PEG2000,HeLa,pDNA,41.18,11.07,2.49,45.26,111.2,0.4,-16.8,91.4,5.57,0.928,639.7,6.26,0,7,7.17,52.0,16,0,1,Very High,0.8125
LNPDB_00040,Patel2017,Lipid5,DSPC,DMG-PEG2000,MCF7,mRNA,44.43,12.58,0.93,42.05,78.1,0.05,-10.1,81.3,6.12,0.609,537.2,9.33,3,5,6.53,52.1,8,2,1,Very High,0.8277
LNPDB_00041,BioNTech2021,C12-200,DSPC,C14-PEG2000,MCF7,mRNA,41.03,12.08,3.45,43.44,125.4,0.05,0.9,85.7,12.6,0.792,603.3,7.62,3,2,5.14,35.7,6,2,0,Low,0.3866
LNPDB_00042,Moderna2021,Lipid9,DPPC,DSPE-PEG2000,RAW264.7,mRNA,39.31,5.73,3.49,51.47,76.2,0.116,-1.5,79.7,10.58,0.705,827.7,7.83,1,4,8.15,67.7,5,0,0,Low,0.3308
LNPDB_00043,Sabnis2018,DOTAP,DOPE,DMG-PEG2000,HeLa,siRNA,38.19,11.76,3.48,46.57,125.9,0.077,-3.9,89.0,4.87,0.579,560.8,6.63,3,6,6.69,70.5,10,2,1,Very High,0.7811
LNPDB_00044,Maier2013,A2-Iso5-2DC18,DOPC,DSPE-PEG2000,HeLa,pDNA,31.13,10.92,2.16,55.79,77.1,0.065,5.8,67.3,6.06,0.532,794.2,8.81,2,4,6.23,59.1,7,0,0,Low,0.3289
LNPDB_00045,Maier2013,DODAP,DSPE,DSPE-PEG2000,NIH3T3,mRNA,35.68,9.22,2.28,52.81,183.1,0.05,-2.1,87.0,5.67,0.625,592.7,6.88,2,2,6.17,57.1,16,2,1,Very High,0.7925
LNPDB_00046,Rosenblum2020,ALC-0315,DSPE,DSPE-PEG2000,HUVEC,siRNA,37.24,7.35,2.61,52.81,121.5,0.4,-2.3,70.7,4.69,0.543,679.7,7.96,0,6,5.78,49.9,5,1,0,Very Low,0.1785
LNPDB_00047,Rosenblum2020,cKK-E12,DOPE,DMG-PEG2000,RAW264.7,mRNA,46.34,12.08,3.62,37.95,128.7,0.05,-0.6,90.7,5.45,0.491,681.6,7.6,1,5,5.83,61.5,18,2,0,Low,0.354
LNPDB_00048,Billingsley2020,Lipid9,DSPE,DSPE-PEG2000,HeLa,siRNA,42.06,7.08,2.06,48.8,95.0,0.26,-6.6,94.8,8.29,0.3,570.8,8.71,0,5,6.53,76.4,10,2,1,Very High,0.8615
LNPDB_00049,Dahlman2017,DOTAP,DSPC,C14-PEG2000,NIH3T3,mRNA,29.42,16.4,1.9,52.28,120.0,0.05,-7.5,88.8,7.05,0.675,653.2,9.78,1,6,6.96,60.9,15,2,0,Very Low,0.0416
LNPDB_00050,Fenton2016,SM-102,DSPE,DSPE-PEG2000,Huh7,pDNA,41.94,10.34,3.06,44.66,68.7,0.056,4.3,78.8,5.24,0.748,668.4,10.67,1,4,7.71,67.5,7,1,1,High,0.7351
LNPDB_00051,Jayaraman2012,SM-102,DSPC,DMG-PEG2000,MCF7,saRNA,37.69,6.33,3.47,52.51,74.6,0.4,-1.3,63.7,14.39,0.557,728.6,8.04,2,4,6.83,49.2,18,0,0,Very Low,0.0672
LNPDB_00052,Sabnis2018,SM-102,DOPE,DSPE-PEG2000,HepG2,mRNA,35.94,8.46,2.46,53.15,91.2,0.051,22.5,72.8,5.35,0.749,532.8,7.27,2,2,7.3,67.9,8,2,1,High,0.6877
LNPDB_00053,Rosenblum2020,Lipid5,DSPE,DMG-PEG2000,NIH3T3,mRNA,43.67,9.17,3.04,44.13,157.7,0.373,2.7,79.5,7.22,0.479,575.9,8.46,0,5,6.86,74.8,9,0,0,Very Low,0.2466
LNPDB_00054,Moderna2021,FTT5,DOPC,DMG-PEG2000,NIH3T3,mRNA,46.19,17.24,2.59,33.99,135.3,0.05,6.5,90.4,5.32,0.553,538.1,8.71,3,2,6.24,85.5,5,1,1,High,0.6132
LNPDB_00055,Jayaraman2012,FTT5,DPPC,C14-PEG2000,MCF7,mRNA,45.59,7.35,2.3,44.77,51.1,0.05,-4.2,56.3,9.27,0.594,556.5,7.49,0,3,6.58,66.6,14,2,0,Low,0.3896
LNPDB_00056,Semple2010,MC3,DPPC,C14-PEG2000,HepG2,pDNA,34.96,9.65,1.84,53.55,74.4,0.379,-9.0,82.1,5.06,0.417,583.2,8.36,1,4,6.3,60.1,9,2,0,Low,0.2644
LNPDB_00057,Kauffman2015,FTT5,DPPC,DMG-PEG2000,HUVEC,pDNA,38.14,8.39,1.58,51.89,97.4,0.062,-13.0,61.8,3.27,0.775,670.4,9.61,3,2,5.71,32.0,10,0,1,High,0.6848
LNPDB_00058,Dahlman2017,A2-Iso5-2DC18,DSPE,DSPE-PEG2000,RAW264.7,mRNA,41.99,11.5,2.01,44.51,145.8,0.06,-18.6,98.9,4.9,0.59,764.0,7.94,3,5,5.43,72.1,16,2,1,Very High,0.7973
LNPDB_00059,Semple2010,ALC-0315,DPPC,C14-PEG2000,HeLa,siRNA,45.85,8.43,1.72,43.99,107.6,0.303,-3.2,91.0,5.79,0.475,623.5,9.31,2,5,6.57,76.5,10,1,1,Very High,0.7665
LNPDB_00060,Hassett2019,OF-02,DOPC,DSPE-PEG2000,A549,saRNA,37.12,6.58,2.73,53.57,50.0,0.148,7.2,79.6,8.88,0.646,556.6,9.8,3,4,7.12,58.5,8,2,0,Very Low,0.2426
LNPDB_00061,Fenton2016,DOTAP,DSPC,DMG-PEG2000,RAW264.7,pDNA,38.89,9.41,3.47,48.23,70.3,0.2,-14.3,72.8,5.08,0.459,778.1,9.93,3,4,6.67,71.2,18,2,0,Low,0.3617
LNPDB_00062,Fenton2016,OF-02,DSPE,DMG-PEG2000,RAW264.7,pDNA,33.36,9.1,2.66,54.87,124.1,0.079,-5.8,83.9,5.94,0.8,668.2,6.97,2,7,5.95,59.2,16,2,1,High,0.6331
LNPDB_00063,Sabnis2018,DLin-MC3-DMA,DPPC,DMG-PEG2000,HeLa,mRNA,32.82,8.22,1.76,57.19,106.3,0.212,-8.5,77.2,3.83,0.751,781.0,6.99,2,3,6.43,65.9,15,2,1,High,0.7306
LNPDB_00064,Hassett2019,SM-102,DOPC,DSPE-PEG2000,A549,siRNA,44.88,8.38,3.18,43.56,104.1,0.4,-4.4,98.6,5.87,0.337,623.5,8.94,1,3,6.7,86.7,10,1,1,High,0.5257
LNPDB_00065,Patel2017,DODAP,DPPC,DMG-PEG2000,Huh7,siRNA,48.14,13.55,2.74,35.57,139.6,0.175,-3.0,75.2,4.6,0.77,637.8,7.12,2,6,7.12,78.5,17,2,0,Very Low,0.2117
LNPDB_00066,Fenton2016,L319,DOPC,DSPE-PEG2000,RAW264.7,siRNA,39.57,9.04,2.9,48.5,90.1,0.145,8.3,88.9,5.17,0.56,631.6,8.67,1,6,7.21,55.3,10,1,1,Very High,0.8184
LNPDB_00067,Sabnis2018,Lipid9,DSPE,DSPE-PEG2000,HeLa,mRNA,46.02,6.6,2.08,45.3,123.3,0.189,-28.7,91.4,7.3,0.615,645.3,5.71,2,4,7.49,48.7,14,0,1,Very High,0.7671
LNPDB_00068,BioNTech2021,MC3,DOPE,DMG-PEG2000,Huh7,pDNA,42.17,8.61,3.41,45.81,163.6,0.113,-17.1,55.2,4.77,0.892,670.5,10.68,3,3,5.53,62.4,17,1,1,High,0.5571
LNPDB_00069,Moderna2021,DOTAP,DPPC,DMG-PEG2000,HeLa,siRNA,36.13,10.16,3.4,50.31,107.0,0.299,0.5,59.1,4.8,0.667,694.2,6.88,0,4,8.29,53.8,8,0,0,Low,0.3437
LNPDB_00070,Kulkarni2021,A2-Iso5-2DC18,DSPC,DSPE-PEG2000,A549,mRNA,42.17,5.99,2.35,49.49,76.5,0.4,-11.8,70.7,12.92,0.79,626.6,10.68,0,4,5.91,73.2,17,1,0,Very Low,0.0866
LNPDB_00071,Fenton2016,DODAP,DSPE,C14-PEG2000,HeLa,mRNA,49.23,14.88,3.07,32.82,88.0,0.142,-11.3,77.0,4.91,0.809,655.9,5.21,2,6,5.8,29.1,15,2,0,Very Low,0.1655
LNPDB_00072,Moderna2021,Lipid5,DPPC,DMG-PEG2000,HepG2,mRNA,39.79,12.6,3.38,44.23,76.3,0.18,-7.5,96.3,17.53,0.695,660.6,9.84,1,5,7.12,40.3,13,1,0,Low,0.443
LNPDB_00073,Hassett2019,Lipid9,DOPC,DSPE-PEG2000,NIH3T3,mRNA,49.39,14.29,2.13,34.19,51.1,0.05,-11.2,85.9,10.96,0.623,651.9,8.28,2,4,5.86,62.4,10,0,0,Low,0.283
LNPDB_00074,Semple2010,A2-Iso5-2DC18,DSPE,DMG-PEG2000,NIH3T3,siRNA,25.35,11.33,2.47,60.84,78.9,0.25,-11.0,70.8,7.39,0.617,717.4,9.22,2,2,7.32,52.0,19,0,0,Very Low,0.0703
LNPDB_00075,Kauffman2015,ALC-0315,DPPC,C14-PEG2000,RAW264.7,siRNA,44.93,3.72,2.56,48.79,121.0,0.104,1.1,78.0,3.06,0.401,819.3,6.85,1,7,7.13,88.5,17,2,0,Very Low,0.1974
LNPDB_00076,Semple2010,SM-102,DPPC,DSPE-PEG2000,A549,mRNA,40.52,14.61,1.62,43.25,100.3,0.05,-17.9,67.8,6.98,0.315,689.2,9.76,0,7,7.82,49.9,5,1,1,High,0.6666
LNPDB_00077,Maier2013,Lipid9,DPPC,C14-PEG2000,HepG2,saRNA,38.21,7.41,2.85,51.53,150.3,0.226,-13.7,90.3,5.39,0.411,631.0,4.0,0,4,4.5,51.6,10,0,0,Low,0.2965
LNPDB_00078,Semple2010,L319,DSPC,DMG-PEG2000,MCF7,siRNA,40.55,7.65,3.32,48.48,104.4,0.2,-0.5,85.3,11.68,0.89,477.5,8.59,0,3,7.3,44.4,8,0,0,Low,0.4662
LNPDB_00079,Fenton2016,DLin-MC3-DMA,DOPC,C14-PEG2000,HeLa,saRNA,28.07,10.47,2.38,59.07,130.4,0.096,14.0,80.0,3.84,0.526,768.6,9.62,2,2,7.09,85.4,18,0,0,Very Low,0.2457
LNPDB_00080,Dahlman2017,DOTAP,DSPE,C14-PEG2000,MCF7,siRNA,38.68,14.13,2.77,44.41,59.0,0.085,5.7,72.6,11.01,0.575,636.7,9.49,0,6,7.13,47.7,8,1,1,High,0.7442
LNPDB_00081,Fenton2016,Lipid9,DOPE,DMG-PEG2000,HUVEC,mRNA,42.14,13.16,3.62,41.08,87.7,0.384,-12.0,83.6,7.87,0.794,644.3,7.08,3,7,6.94,78.1,5,1,0,Very Low,0.1748
LNPDB_00082,Miao2020,L319,DOPE,C14-PEG2000,HUVEC,mRNA,48.87,12.72,2.18,36.24,92.2,0.208,-7.4,97.7,4.52,0.583,690.4,5.57,1,6,5.55,89.7,9,1,0,Very Low,0.1365
LNPDB_00083,Sabnis2018,Lipid5,DPPC,DMG-PEG2000,HepG2,mRNA,36.89,9.06,2.79,51.26,78.1,0.37,-7.1,87.9,4.74,0.693,645.7,6.95,0,2,7.11,73.7,5,1,0,Very Low,0.2144
LNPDB_00084,Hassett2019,OF-02,DSPE,C14-PEG2000,NIH3T3,mRNA,35.15,9.02,2.04,53.79,158.0,0.4,-16.1,83.5,6.03,0.667,554.1,7.48,3,7,5.55,61.0,18,1,0,Low,0.2882
LNPDB_00085,Kauffman2015,L319,DSPC,DMG-PEG2000,A549,mRNA,36.99,11.04,2.02,49.95,56.0,0.4,-4.0,88.7,6.68,0.669,614.5,9.08,1,6,5.38,80.6,6,2,0,Very Low,0.2351
LNPDB_00086,Fenton2016,FTT5,DOPE,DSPE-PEG2000,HeLa,siRNA,45.49,9.61,2.77,42.12,96.6,0.206,-12.5,87.7,6.54,0.759,720.8,8.12,2,3,7.72,27.1,14,2,0,Very Low,0.1003
LNPDB_00087,Miao2020,DODAP,DOPC,DMG-PEG2000,HUVEC,siRNA,41.97,12.67,2.69,42.67,140.5,0.05,-13.1,92.7,7.47,0.83,566.4,10.92,2,5,6.18,56.0,19,2,1,High,0.6699
LNPDB_00088,Billingsley2020,OF-02,DOPE,DSPE-PEG2000,HepG2,mRNA,36.82,12.49,2.94,47.74,125.7,0.182,2.2,75.1,3.63,0.582,729.1,6.78,1,2,5.91,42.4,16,1,0,Low,0.4796
LNPDB_00089,Semple2010,ALC-0315,DSPC,DMG-PEG2000,Huh7,mRNA,43.08,11.77,2.56,42.59,89.2,0.172,-6.8,84.2,8.37,0.649,690.9,9.19,3,3,7.46,41.0,14,0,0,Low,0.4599
LNPDB_00090,Fenton2016,MC3,DPPC,C14-PEG2000,NIH3T3,siRNA,40.58,3.0,2.87,53.55,76.3,0.119,-6.9,93.5,5.96,0.706,708.0,7.04,0,5,5.17,50.6,8,1,0,Low,0.3574
LNPDB_00091,Patel2017,A2-Iso5-2DC18,DSPC,C14-PEG2000,RAW264.7,mRNA,45.81,10.38,3.83,39.97,138.7,0.18,-21.1,88.1,6.59,0.406,612.7,7.89,3,4,6.98,55.1,18,1,1,High,0.5148
LNPDB_00092,Semple2010,DOTAP,DSPE,C14-PEG2000,A549,saRNA,35.79,9.67,3.35,51.19,85.5,0.148,-2.6,74.5,12.14,0.578,627.7,8.08,3,2,6.13,41.5,13,1,0,Low,0.4209
LNPDB_00093,Rosenblum2020,BAMEA-O16B,DOPC,C14-PEG2000,NIH3T3,mRNA,38.03,10.5,2.77,48.69,77.9,0.4,-4.4,86.9,6.61,0.703,679.9,9.92,0,4,6.29,25.6,17,1,1,High,0.561
LNPDB_00094,Semple2010,DLin-MC3-DMA,DOPC,C14-PEG2000,Huh7,siRNA,37.65,7.74,2.9,51.71,135.0,0.346,-16.4,88.2,6.24,0.55,594.3,6.01,0,3,5.69,57.6,12,0,0,Very Low,0.0652
LNPDB_00095,Jayaraman2012,MC3,DSPC,DMG-PEG2000,HUVEC,siRNA,31.37,6.06,2.27,60.3,109.7,0.4,-3.7,87.7,11.35,0.78,639.4,7.46,2,5,5.26,62.0,13,2,0,Very Low,0.0304
LNPDB_00096,Semple2010,Lipid5,DOPE,C14-PEG2000,HUVEC,siRNA,41.78,11.39,2.37,44.46,90.0,0.175,-0.6,88.6,7.2,0.788,655.3,8.21,2,2,7.05,74.8,14,0,1,High,0.6902
LNPDB_00097,Fenton2016,OF-02,DSPC,C14-PEG2000,Huh7,siRNA,41.57,8.93,2.89,46.61,110.2,0.273,-8.4,85.4,4.89,0.874,630.4,9.45,2,5,6.73,51.9,18,0,1,High,0.7422
LNPDB_00098,Hassett2019,SM-102,DOPE,DSPE-PEG2000,HUVEC,mRNA,40.03,11.72,2.57,45.68,114.3,0.068,-13.7,96.5,5.21,0.817,663.0,8.02,3,3,7.37,68.8,18,0,1,Very High,0.8164
LNPDB_00099,Maier2013,L319,DOPE,C14-PEG2000,HepG2,saRNA,38.59,7.99,3.13,50.29,98.4,0.129,-4.5,82.7,6.15,0.644,553.7,7.7,1,6,7.11,36.8,5,0,0,Low,0.4876
LNPDB_00100,Jayaraman2012,SM-102,DSPC,DSPE-PEG2000,Huh7,mRNA,31.51,14.25,3.51,50.73,104.7,0.301,-9.1,72.3,8.91,0.743,558.1,7.85,1,5,6.06,40.0,6,0,0,Very Low,0.089
LNPDB_00101,Moderna2021,A2-Iso5-2DC18,DOPC,C14-PEG2000,MCF7,mRNA,37.48,13.0,2.42,47.1,52.3,0.195,-0.1,79.1,4.87,0.379,510.2,7.73,2,5,6.25,61.7,18,1,1,High,0.5959
LNPDB_00102,Kauffman2015,SM-102,DSPC,C14-PEG2000,MCF7,siRNA,37.94,10.89,0.89,50.27,96.9,0.171,-22.0,78.8,9.44,0.457,634.8,8.5,1,3,6.9,55.9,15,1,1,High,0.6032
LNPDB_00103,Miao2020,Lipid5,DPPC,DMG-PEG2000,MCF7,siRNA,35.19,9.36,4.13,51.33,82.5,0.155,-9.5,71.4,4.43,0.746,727.7,7.78,1,3,6.1,50.0,18,1,0,Very Low,0.0859
LNPDB_00104,Billingsley2020,OF-02,DSPC,DSPE-PEG2000,HUVEC,pDNA,39.03,12.56,1.98,46.43,78.7,0.17,-2.5,92.2,9.78,0.907,725.0,5.89,2,2,7.49,48.3,17,0,1,Very High,0.7969
LNPDB_00105,Moderna2021,L319,DSPE,DSPE-PEG2000,Huh7,mRNA,42.42,11.18,2.66,43.74,81.4,0.4,2.4,92.7,12.55,0.383,649.2,7.05,2,6,6.85,50.5,13,1,0,Very Low,0.2353
LNPDB_00106,Jayaraman2012,Lipid5,DOPC,DMG-PEG2000,Huh7,pDNA,51.32,10.72,3.08,34.89,86.2,0.19,-13.7,82.0,11.36,0.568,647.7,8.84,2,3,7.31,59.4,15,1,0,Very Low,0.1185
LNPDB_00107,Miao2020,A2-Iso5-2DC18,DOPC,C14-PEG2000,HUVEC,siRNA,41.05,13.13,3.63,42.2,91.5,0.181,-11.8,82.4,6.16,0.3,604.5,10.27,1,7,7.68,63.7,15,1,0,Low,0.3937
LNPDB_00108,Jayaraman2012,DLin-MC3-DMA,DSPE,C14-PEG2000,HeLa,mRNA,41.55,14.28,3.94,40.23,105.1,0.296,-5.7,91.0,2.58,0.825,510.3,5.74,3,7,6.35,43.6,17,2,1,High,0.7324
LNPDB_00109,Sabnis2018,ALC-0315,DOPE,DMG-PEG2000,MCF7,mRNA,39.55,6.24,2.21,52.0,80.2,0.123,-20.1,59.0,5.04,0.546,595.3,5.37,0,5,6.85,43.3,6,0,1,High,0.7152
