record_id,source,ionizable_lipid,helper_lipid,peg_lipid,cargo_type,cell_line,IL_mol_pct,CHL_mol_pct,HL_mol_pct,PEG_mol_pct,MW_gmol,LogP,HBD,HBA,RotBonds,TPSA,Frac_sp3C,N_rings,N_arom_rings,pKa_head,size_nm,PDI,zeta_mV,encap_eff_pct,transfection_prob,efficacy_class,efficacy_binary
LNP_00034,Patel2017,DOTAP,DSPC,PEG2000-DSG,mRNA,RAW264.7,51.2,30.79,16.22,1.79,663.4,8.048,2.0,6.0,12.0,47.12,0.4818,3.0,2.0,6.18,66.2,0.2179,12.3,82.0,0.1772,Low,0
LNP_00035,Maier2013,SM-102,DOPE,PEG1000-DMG,pDNA,HeLa,38.14,44.32,14.13,3.41,696.8,5.126,4.0,3.0,19.0,40.2,0.3708,2.0,0.0,6.69,175.8,0.1032,5.4,86.0,0.5624,Medium,1
LNP_00036,Fenton2016,C12-200,DOPC,PEG2000-DMG,pDNA,RAW264.7,24.47,48.99,24.56,1.98,965.8,6.572,1.0,6.0,16.0,53.62,0.6079,3.0,0.0,6.25,64.9,0.2966,-13.5,91.8,0.8296,High,1
LNP_00037,Kulkarni2019,DOTAP,DSPE,PEG2000-DSG,siRNA,RAW264.7,15.7,63.79,17.32,3.19,623.5,7.089,1.0,6.0,8.0,68.08,0.4432,3.0,2.0,6.44,202.7,0.1474,-14.5,72.5,0.0137,Low,0
LNP_00038,Fenton2016,OF-02,DOPC,PEG2000-DSPE,pDNA,A549,33.05,46.36,19.24,1.35,498.2,7.773,0.0,7.0,20.0,78.37,0.7921,0.0,0.0,7.41,93.8,0.2217,-0.6,94.6,0.8951,High,1
LNP_00039,Kulkarni2019,DODMA,DOPC,PEG1000-DMG,mRNA,RAW264.7,37.88,35.5,25.12,1.5,691.9,7.129,0.0,2.0,22.0,82.49,0.5274,2.0,0.0,6.09,113.2,0.2874,-22.9,84.0,0.2503,Low,0
LNP_00040,Jayaraman2012,DODMA,DSPC,PEG1000-DMG,mRNA,PC3,45.95,29.59,22.23,2.23,839.8,8.788,3.0,9.0,5.0,83.62,0.5652,3.0,1.0,5.97,117.6,0.1812,-0.2,74.4,0.7277,High,1
LNP_00041,Fenton2016,IM-23,DPPC,PEG2000-DSG,mRNA,Jurkat,33.1,45.59,18.95,2.35,814.3,7.925,3.0,5.0,16.0,47.89,0.4366,2.0,1.0,5.89,55.5,0.1231,-9.4,95.3,0.3092,Low,0
LNP_00042,Miao2020,Lipid5,DSPC,PEG2000-DSPE,siRNA,A549,22.85,61.36,13.8,1.99,741.5,10.17,0.0,7.0,11.0,35.96,0.5122,0.0,2.0,7.57,89.8,0.0909,2.2,49.0,0.1323,Low,0
LNP_00043,Lokugamage2019,DODAP,DPPC,PEG2000-DSG,mRNA,HEK293,42.64,33.98,20.55,2.82,868.0,11.609,0.0,5.0,23.0,86.63,0.4982,2.0,1.0,7.31,69.0,0.1478,-13.9,77.2,0.0384,Low,0
LNP_00044,Semple2010,BAMEA-O16B,DPPC,PEG1000-DMG,mRNA,Huh7,45.14,43.48,10.42,0.95,527.7,7.616,1.0,5.0,13.0,70.65,0.631,3.0,2.0,6.77,100.2,0.1752,3.6,92.9,0.8414,High,1
LNP_00045,Kauffman2015,Lipid5,DOPE,PEG1000-DMG,siRNA,HEK293,22.14,48.95,25.67,3.24,566.2,6.948,4.0,6.0,21.0,55.07,0.6247,3.0,0.0,5.76,125.1,0.1753,-7.5,84.2,0.4896,Medium,0
LNP_00046,Hajj2019,Lipid5,DOPC,PEG2000-DSG,siRNA,Jurkat,33.5,41.32,24.04,1.14,552.0,8.437,0.0,5.0,24.0,73.58,0.4219,2.0,2.0,5.65,100.0,0.0606,5.9,84.7,0.5422,Medium,1
LNP_00047,Hassett2019,DODAP,DOPC,PEG2000-DSPE,mRNA,A549,19.77,55.74,22.91,1.58,738.3,11.626,4.0,5.0,6.0,62.72,0.62,1.0,0.0,6.64,111.1,0.2878,-17.1,92.3,0.6539,Medium,1
LNP_00048,Lokugamage2019,C12-200,DOPC,PEG1000-DMG,pDNA,HEK293,14.46,54.35,27.9,3.29,665.2,9.174,1.0,7.0,14.0,35.89,0.4348,1.0,2.0,6.16,85.7,0.1042,-36.1,73.6,0.5884,Medium,1
LNP_00049,Fenton2016,DOTAP,DOPC,PEG2000-DMG,mRNA,HEK293,43.74,34.42,20.33,1.5,610.1,10.106,0.0,5.0,15.0,113.91,0.4546,3.0,1.0,7.22,94.6,0.1989,-2.2,89.8,0.5999,Medium,1
LNP_00050,Lokugamage2019,DOTAP,DSPE,PEG1000-DMG,mRNA,PC3,27.08,50.52,21.14,1.26,722.2,12.804,1.0,3.0,22.0,40.81,0.3949,3.0,0.0,5.34,91.1,0.1637,-24.4,80.1,0.272,Low,0
LNP_00051,Akinc2008,L319,DSPE,PEG1000-DMG,mRNA,Huh7,25.89,53.21,20.22,0.69,593.0,10.201,3.0,3.0,21.0,52.67,0.465,1.0,2.0,5.76,195.5,0.1411,-13.3,53.2,0.7446,High,1
LNP_00052,Kauffman2015,BAMEA-O16B,DPPC,PEG1000-DMG,siRNA,HeLa,34.5,44.79,20.13,0.58,511.9,11.154,2.0,6.0,24.0,79.44,0.4999,3.0,1.0,7.25,151.9,0.1377,-8.7,78.6,0.5802,Medium,1
LNP_00053,Hassett2019,DODMA,DSPC,PEG2000-DMG,siRNA,HeLa,46.16,36.8,15.68,1.35,528.7,10.191,2.0,2.0,23.0,73.47,0.4487,1.0,0.0,6.21,74.9,0.117,3.4,93.1,0.3763,Medium,0
LNP_00054,Patel2017,cKK-E12,DPPC,PEG1000-DMG,pDNA,Huh7,23.75,58.26,16.78,1.22,440.5,10.029,4.0,5.0,21.0,60.71,0.6139,3.0,2.0,6.11,43.4,0.1423,-4.8,96.2,0.5483,Medium,1
LNP_00055,Kauffman2015,DODAP,DSPE,PEG2000-DSPE,saRNA,Huh7,45.89,36.06,17.19,0.86,782.8,8.551,2.0,5.0,9.0,29.4,0.598,2.0,0.0,4.81,152.4,0.1006,8.4,96.5,0.7875,High,1
LNP_00056,Dahlman2017,ALC-0315,DOPE,PEG1000-DMG,mRNA,A549,32.94,40.69,24.36,2.01,463.0,6.55,1.0,7.0,6.0,76.43,0.6286,0.0,0.0,6.75,220.2,0.1657,29.1,94.2,0.7819,High,1
LNP_00057,Patel2017,C12-200,DPPC,PEG1000-DMG,mRNA,Jurkat,20.04,51.6,24.9,3.45,738.3,7.824,0.0,6.0,9.0,64.31,0.542,1.0,0.0,6.36,159.2,0.1255,-3.1,93.5,0.5098,Medium,1
LNP_00058,Billingsley2020,DODMA,DSPC,PEG1000-DMG,siRNA,RAW264.7,22.55,56.63,19.32,1.49,643.0,8.21,0.0,4.0,9.0,58.16,0.6602,3.0,2.0,7.36,128.3,0.1481,-31.3,76.2,0.4107,Medium,0
LNP_00059,Miao2020,IM-23,DSPE,PEG1000-DMG,siRNA,HEK293,16.91,59.38,17.8,5.9,870.0,12.185,4.0,3.0,22.0,50.48,0.5506,2.0,1.0,7.47,105.7,0.1896,-26.4,69.4,0.0269,Low,0
LNP_00060,Hassett2019,A18-Iso5-2DC18,DPPC,PEG2000-DMG,siRNA,HEK293,37.1,40.41,21.14,1.35,508.6,7.075,1.0,6.0,20.0,20.02,0.4813,3.0,1.0,6.71,294.2,0.1114,-7.4,81.6,0.7922,High,1
LNP_00061,Patel2017,FTT5,DSPC,PEG2000-DSPE,siRNA,A549,18.61,57.97,21.19,2.23,290.6,10.247,4.0,3.0,21.0,38.56,0.4391,2.0,0.0,6.66,87.4,0.1768,5.6,92.6,0.5666,Medium,1
LNP_00062,Sabnis2018,DODMA,DPPC,PEG2000-DMG,siRNA,HeLa,34.82,46.48,14.38,4.33,630.9,8.493,0.0,2.0,5.0,38.44,0.5614,3.0,0.0,7.44,126.9,0.059,5.5,90.4,0.1234,Low,0
LNP_00063,Sabnis2018,DOTAP,DSPC,PEG1000-DMG,siRNA,HEK293,36.51,47.2,14.16,2.13,496.4,9.423,0.0,2.0,15.0,71.42,0.5114,3.0,0.0,6.94,104.6,0.1975,-14.2,62.3,0.4957,Medium,0
LNP_00064,Semple2010,Lipid5,DOPE,PEG2000-DSPE,ASO,Jurkat,35.63,43.81,19.38,1.17,443.7,6.704,3.0,9.0,20.0,34.24,0.5794,3.0,1.0,5.36,134.3,0.2046,-0.7,97.9,0.6958,High,1
LNP_00065,Kulkarni2019,OF-02,DPPC,PEG2000-DMG,saRNA,RAW264.7,19.29,57.76,20.89,2.06,566.7,8.027,1.0,2.0,10.0,31.29,0.6372,2.0,0.0,6.66,88.8,0.176,9.8,98.5,0.429,Medium,0
LNP_00066,Fenton2016,BAMEA-O16B,DOPC,PEG2000-DMG,siRNA,A549,47.71,29.74,20.06,2.49,760.5,8.878,4.0,9.0,21.0,47.28,0.6367,1.0,2.0,7.04,73.4,0.1936,-9.3,57.7,0.4865,Medium,0
LNP_00067,Dahlman2017,DLin-MC3-DMA,DPPC,PEG1000-DMG,saRNA,PC3,48.5,37.66,12.1,1.74,1045.2,10.65,4.0,8.0,7.0,38.62,0.4949,3.0,1.0,5.29,85.7,0.1789,-13.2,81.0,0.6434,Medium,1
LNP_00068,Billingsley2020,DODMA,DPPC,PEG1000-DMG,siRNA,MCF7,16.5,59.05,23.06,1.39,890.1,9.677,0.0,6.0,14.0,30.66,0.6545,1.0,1.0,7.64,75.7,0.0875,4.8,90.6,0.3275,Low,0
LNP_00069,Hajj2019,SM-102,DOPE,PEG1000-DMG,siRNA,HEK293,21.89,51.79,25.15,1.16,746.7,7.469,4.0,9.0,11.0,82.76,0.6945,3.0,0.0,6.75,119.6,0.1417,-37.5,94.3,0.7926,High,1
LNP_00070,Maier2013,DLin-MC3-DMA,DOPC,PEG2000-DSPE,pDNA,RAW264.7,12.34,61.79,22.2,3.67,433.1,6.849,1.0,4.0,7.0,80.97,0.5249,3.0,1.0,5.86,81.5,0.0836,8.5,78.1,0.0931,Low,0
LNP_00071,Sabnis2018,DODAP,DOPE,PEG2000-DSPE,saRNA,Huh7,28.6,55.83,13.28,2.29,696.2,8.138,2.0,2.0,9.0,50.54,0.4505,1.0,2.0,5.13,80.0,0.1398,-1.7,57.3,0.5305,Medium,1
LNP_00072,Miao2020,FTT5,DOPC,PEG2000-DMG,saRNA,A549,41.93,43.16,10.84,4.07,620.6,8.289,1.0,6.0,16.0,27.83,0.5211,2.0,2.0,7.2,88.1,0.1662,21.6,59.7,0.4701,Medium,0
LNP_00073,Kulkarni2019,DODAP,DSPC,PEG2000-DSPE,siRNA,PC3,15.89,56.55,25.63,1.93,652.4,9.922,4.0,4.0,24.0,56.26,0.5384,0.0,0.0,6.56,117.6,0.1695,4.8,64.0,0.3356,Medium,0
LNP_00074,Maier2013,DOTAP,DOPE,PEG2000-DSG,pDNA,A549,27.42,55.39,14.87,2.33,796.1,8.604,2.0,2.0,9.0,57.61,0.601,2.0,1.0,6.22,133.4,0.1168,-13.1,77.5,0.8637,High,1
LNP_00075,Kulkarni2019,IM-23,DSPE,PEG2000-DSPE,pDNA,HeLa,38.17,38.16,19.86,3.81,599.3,9.926,1.0,5.0,23.0,94.3,0.4464,1.0,1.0,7.13,51.0,0.0826,-16.1,84.2,0.6071,Medium,1
LNP_00076,Fenton2016,DODAP,DSPC,PEG1000-DMG,siRNA,PC3,43.4,44.66,11.1,0.84,572.3,8.161,1.0,7.0,8.0,73.06,0.5034,2.0,1.0,7.75,82.0,0.0686,5.3,70.8,0.7519,High,1
LNP_00077,Lokugamage2019,Lipid5,DOPE,PEG2000-DSG,mRNA,HEK293,44.27,39.29,13.74,2.7,714.9,9.117,1.0,6.0,11.0,72.36,0.3886,1.0,0.0,6.63,88.7,0.2266,-3.8,76.4,0.2069,Low,0
LNP_00078,Kulkarni2019,OF-02,DSPC,PEG1000-DMG,siRNA,A549,4.95,68.31,25.26,1.48,774.9,8.176,0.0,9.0,13.0,75.57,0.6306,2.0,0.0,5.67,119.6,0.1688,17.1,77.1,0.0593,Low,0
LNP_00079,Kauffman2015,C12-200,DPPC,PEG2000-DSG,mRNA,PC3,59.24,28.35,10.75,1.65,694.6,10.452,0.0,2.0,7.0,75.62,0.5083,1.0,2.0,5.94,119.7,0.0978,-21.7,96.5,0.1015,Low,0
LNP_00080,Billingsley2020,DLin-MC3-DMA,DSPC,PEG2000-DSG,saRNA,MCF7,57.64,26.59,14.64,1.13,503.9,8.84,3.0,2.0,22.0,35.67,0.6075,2.0,2.0,5.93,49.3,0.1642,-4.2,98.0,0.2043,Low,0
LNP_00081,Kauffman2015,DODAP,DSPE,PEG2000-DSG,mRNA,Huh7,30.43,47.05,19.87,2.65,446.5,4.219,3.0,9.0,11.0,58.59,0.6994,3.0,1.0,6.87,89.8,0.1609,20.3,79.6,0.6906,High,1
LNP_00082,Hassett2019,Lipid5,DPPC,PEG2000-DSG,mRNA,A549,36.61,50.41,10.61,2.38,801.1,8.194,3.0,2.0,12.0,52.75,0.4589,0.0,1.0,5.95,110.0,0.1877,8.1,97.4,0.1704,Low,0
LNP_00083,Akinc2008,DLin-MC3-DMA,DOPC,PEG2000-DSG,siRNA,RAW264.7,40.83,33.14,22.33,3.7,683.0,7.336,0.0,4.0,8.0,61.04,0.6071,1.0,1.0,7.75,102.2,0.1469,-4.2,63.8,0.2756,Low,0
LNP_00084,Maier2013,Lipid5,DOPE,PEG1000-DMG,mRNA,HEK293,38.66,40.27,18.64,2.43,449.8,9.831,2.0,3.0,7.0,78.59,0.5949,3.0,2.0,6.93,135.8,0.0942,-10.7,59.6,0.6426,Medium,1
LNP_00085,Semple2010,ALC-0315,DSPC,PEG1000-DMG,siRNA,Jurkat,27.47,49.46,18.16,4.91,591.2,6.83,4.0,8.0,16.0,70.81,0.4433,3.0,0.0,5.99,81.4,0.1651,-33.9,65.2,0.0563,Low,0
LNP_00086,Miao2020,DODAP,DPPC,PEG2000-DSPE,mRNA,MCF7,18.71,49.3,28.95,3.04,711.9,5.615,3.0,8.0,9.0,32.52,0.6125,2.0,1.0,6.3,139.1,0.2368,-13.4,99.4,0.8067,High,1
LNP_00087,Maier2013,DOTAP,DOPE,PEG2000-DSPE,saRNA,Huh7,34.94,46.26,17.25,1.55,682.1,8.319,0.0,6.0,12.0,95.78,0.5216,2.0,2.0,7.11,167.5,0.2115,5.1,70.7,0.6446,Medium,1
LNP_00088,Hajj2019,DOTAP,DOPE,PEG2000-DSG,pDNA,PC3,21.23,56.69,21.18,0.9,751.4,8.077,2.0,4.0,10.0,76.53,0.5645,0.0,1.0,6.56,71.2,0.0821,-34.1,81.3,0.6352,Medium,1
LNP_00089,Fenton2016,ALC-0315,DPPC,PEG2000-DMG,pDNA,MCF7,37.83,44.48,16.73,0.95,480.1,11.361,2.0,7.0,24.0,56.27,0.524,3.0,2.0,5.47,80.4,0.1724,3.2,80.1,0.3643,Medium,0
LNP_00090,Fenton2016,IM-23,DSPE,PEG2000-DMG,saRNA,Huh7,38.11,44.41,15.79,1.7,721.5,10.534,0.0,4.0,15.0,36.76,0.4131,3.0,2.0,6.69,158.9,0.0938,-30.0,91.1,0.8201,High,1
LNP_00091,Kauffman2015,FTT5,DPPC,PEG2000-DSG,pDNA,Jurkat,42.88,39.96,14.44,2.72,485.0,9.14,4.0,3.0,10.0,24.34,0.685,1.0,2.0,4.84,84.9,0.0749,-26.0,93.1,0.6948,High,1
LNP_00092,Patel2017,DODMA,DSPC,PEG2000-DMG,siRNA,PC3,34.02,43.07,21.46,1.45,597.2,7.194,3.0,5.0,24.0,76.9,0.4972,0.0,1.0,6.77,87.4,0.1045,-12.9,90.8,0.6563,Medium,1
LNP_00093,Jayaraman2012,DODMA,DOPC,PEG1000-DMG,siRNA,Huh7,27.77,45.59,23.02,3.61,699.6,8.043,4.0,5.0,23.0,68.68,0.5239,2.0,0.0,5.87,126.2,0.1771,-9.1,74.5,0.2282,Low,0
LNP_00094,Hassett2019,Lipid5,DPPC,PEG2000-DSPE,mRNA,HEK293,25.14,54.41,17.84,2.61,708.0,5.481,3.0,9.0,16.0,51.3,0.5626,0.0,0.0,5.95,135.8,0.1836,-48.0,77.4,0.1995,Low,0
LNP_00095,Hajj2019,FTT5,DSPE,PEG2000-DMG,siRNA,PC3,31.1,50.91,15.42,2.57,442.3,8.22,0.0,8.0,12.0,42.54,0.7277,1.0,2.0,7.04,76.1,0.2002,-17.3,90.7,0.6818,High,1
LNP_00096,Dahlman2017,A18-Iso5-2DC18,DOPE,PEG2000-DSPE,siRNA,HEK293,28.63,52.82,16.61,1.95,596.1,4.915,2.0,3.0,21.0,35.99,0.625,2.0,2.0,5.48,117.8,0.1403,-1.8,92.3,0.7327,High,1
LNP_00097,Jayaraman2012,OF-02,DSPC,PEG2000-DSG,saRNA,RAW264.7,42.59,33.62,21.03,2.77,522.6,8.258,1.0,4.0,13.0,65.61,0.3926,1.0,2.0,6.71,151.9,0.142,-4.0,94.7,0.6042,Medium,1
LNP_00098,Semple2010,cKK-E12,DOPC,PEG1000-DMG,mRNA,Huh7,29.72,43.7,24.94,1.65,513.1,7.461,4.0,9.0,14.0,40.65,0.5898,1.0,1.0,5.28,74.0,0.2049,-1.8,95.9,0.6288,Medium,1
LNP_00099,Miao2020,DOTAP,DSPE,PEG2000-DSPE,mRNA,PC3,47.26,42.1,9.79,0.85,626.2,5.446,0.0,8.0,15.0,49.74,0.6072,2.0,1.0,5.59,75.7,0.1889,-24.2,90.8,0.7579,High,1
LNP_00100,Semple2010,A18-Iso5-2DC18,DOPE,PEG2000-DSG,pDNA,Huh7,29.85,48.99,20.5,0.65,603.6,8.388,0.0,8.0,21.0,57.63,0.5058,1.0,1.0,4.93,75.7,0.2269,-11.1,89.9,0.2552,Low,0
LNP_00101,Patel2017,cKK-E12,DSPE,PEG2000-DSG,mRNA,PC3,23.67,60.86,13.4,2.08,772.6,4.546,4.0,4.0,21.0,29.29,0.4678,2.0,2.0,6.21,135.1,0.084,-16.9,92.5,0.2726,Low,0
LNP_00102,Kauffman2015,OF-02,DOPE,PEG2000-DSG,mRNA,HEK293,21.72,44.48,32.62,1.18,695.6,8.307,4.0,7.0,16.0,18.27,0.4306,1.0,2.0,7.38,80.9,0.0972,11.7,88.7,0.6042,Medium,1
LNP_00103,Patel2017,ALC-0315,DOPE,PEG1000-DMG,saRNA,RAW264.7,28.37,39.63,28.0,4.0,822.0,7.966,2.0,7.0,18.0,47.14,0.6732,1.0,1.0,5.9,286.5,0.0925,-8.8,84.3,0.275,Low,0
