entry_id,source,pmid,lnp_type,size_nm,zeta_mv,PDI,protein_source,experiment_type,corona_proteins,n_proteins_identified,confidence,auto_accepted,flagged_review
GS_012,gold_standard_manual,PMID_29135248,OF-02-LNP,107.1,-14.6,0.066,rat plasma,iTRAQ,ApoA-IV; Serotransferrin; Apolipoprotein B; Fibronectin; Ceruloplasmin; Alpha-1-antitrypsin,108,high,False,False
GS_013,gold_standard_manual,PMID_32273085,C12-200-LNP,97.5,-29.4,0.203,rat plasma,SILAC,Vitronectin; ApoE; Haptoglobin; Fibrinogen; IgM,65,high,False,False
GS_014,gold_standard_manual,PMID_28251492,ALC-0315-LNP,162.0,-7.2,0.091,rat plasma,2D-PAGE,Plasminogen; Kininogen; ApoE; Complement C3; Complement C1q; Albumin,38,high,False,False
GS_015,gold_standard_manual,PMID_29162928,ALC-0315-LNP,121.3,-17.0,0.205,rat plasma,SILAC,Fibrinogen; IgA; Albumin; IgG; ApoE; ApoC-III; ApoA-I,99,high,False,False
GS_016,gold_standard_manual,PMID_31788340,cKK-E12-LNP,158.1,-26.0,0.236,fetal bovine serum,iTRAQ,Ceruloplasmin; Kininogen; Albumin; ApoA-IV; Coagulation factor XII; Alpha-2-macroglobulin; Vitronectin,100,high,False,False
GS_017,gold_standard_manual,PMID_29533584,cKK-E12-LNP,178.6,-3.6,0.125,human plasma,2D-PAGE,Complement C1q; Haptoglobin; Hemoglobin; ApoA-IV; ApoA-I; ApoC-III; ApoE,59,high,False,False
GS_018,gold_standard_manual,PMID_29807150,DODAP-LNP,84.3,2.4,0.234,mouse serum,label-free quantification,Apolipoprotein B; Coagulation factor XII; Fetuin-A; Prothrombin,114,high,False,False
GS_019,gold_standard_manual,PMID_28497562,DOTAP-LNP,83.2,-20.2,0.132,rat plasma,SILAC,ApoA-IV; Fetuin-A; Apolipoprotein B; Transferrin; IgM; Prothrombin; Inter-alpha-trypsin inhibitor,63,high,False,False
GS_020,gold_standard_manual,PMID_32345760,SM-102-LNP,83.7,-25.3,0.053,mouse serum,LC-MS/MS,Ceruloplasmin; Complement C3; Serotransferrin; Fibronectin,17,high,False,False
GS_021,gold_standard_manual,PMID_32881713,MC3-LNP,135.2,-10.4,0.225,human serum,LC-MS/MS,Hemoglobin; IgG; Ceruloplasmin; Transferrin; Complement C3; IgA,43,high,False,False
GS_022,gold_standard_manual,PMID_29556617,OF-02-LNP,164.2,-3.1,0.063,rat plasma,iTRAQ,Apolipoprotein B; Clusterin; Complement C4; Albumin; Inter-alpha-trypsin inhibitor; IgA; Transferrin,106,high,False,False
AUTO_001,autocorona_extracted,PMID_32684346,L319-LNP,,,,rat plasma,,Coagulation factor XII; ApoA-II; Ceruloplasmin; Hemoglobin; Haptoglobin; Fetuin-A,10,high,True,False
AUTO_002,autocorona_extracted,PMID_37466441,L319-LNP,,,,mouse serum,2D-PAGE,ApoE; Clusterin; ApoA-I; Alpha-2-macroglobulin; Apolipoprotein B,19,high,True,False
AUTO_003,autocorona_extracted,PMID_32421590,Lipid5-LNP,,,,mouse serum,2D-PAGE,IgA; Plasminogen; Coagulation factor XII; Inter-alpha-trypsin inhibitor; Vitronectin,42,high,True,False
AUTO_004,autocorona_extracted,PMID_37308092,ALC-0315-LNP,,,0.223,mouse serum,SILAC,Hemoglobin; Prothrombin; ApoA-I; Complement C3,12,high,True,False
AUTO_005,autocorona_extracted,PMID_36998604,MC3-LNP,,,0.096,human plasma,,Alpha-1-antitrypsin; ApoA-II; Kininogen; ApoC-III; Clusterin,34,high,True,False
AUTO_006,autocorona_extracted,PMID_29268300,C12-200-LNP,,,,fetal bovine serum,,Complement C4; Albumin; Vitronectin,24,high,True,False
AUTO_007,autocorona_extracted,PMID_31829049,DOTAP-LNP,,,,human serum,label-free quantification,Fibrinogen; Albumin; Haptoglobin; Clusterin; Fetuin-A; Ceruloplasmin,33,high,True,False
AUTO_008,autocorona_extracted,PMID_29946830,MC3-LNP,,,,rat plasma,,Fibrinogen; Albumin; IgG; Complement C3; Apolipoprotein B; Kininogen; Complement C4; Inter-alpha-trypsin inhibitor,22,high,True,False
AUTO_009,autocorona_extracted,PMID_34086368,ALC-0315-LNP,,,,fetal bovine serum,iTRAQ,Inter-alpha-trypsin inhibitor; IgA; Haptoglobin; IgG; ApoA-IV; Vitronectin; Alpha-1-antitrypsin,35,high,True,False
AUTO_010,autocorona_extracted,PMID_31853321,ALC-0315-LNP,,,,rat plasma,LC-MS/MS,IgM; Clusterin; Vitronectin; ApoA-II; Complement C4,30,high,True,False
AUTO_011,autocorona_extracted,PMID_32364406,ALC-0315-LNP,,,,,LC-MS/MS,Haptoglobin; IgM; Vitronectin; ApoA-II; Albumin; ApoC-III; Kininogen,42,high,True,False
AUTO_012,autocorona_extracted,PMID_33877845,SM-102-LNP,,,,,iTRAQ,Prothrombin; ApoA-II; Ceruloplasmin; Plasminogen; Complement C3; Fibronectin; Inter-alpha-trypsin inhibitor,17,high,True,False
AUTO_013,autocorona_extracted,PMID_36908385,DOTAP-LNP,,,,fetal bovine serum,,Apolipoprotein B; Vitronectin; Haptoglobin,18,high,True,False
AUTO_014,autocorona_extracted,PMID_34579137,L319-LNP,,,,,SILAC,Complement C4; Complement C3; Albumin; IgG,15,high,True,False
AUTO_015,autocorona_extracted,PMID_35188238,C12-200-LNP,,,,fetal bovine serum,SILAC,Kininogen; Plasminogen; Prothrombin; ApoE; ApoC-III,5,medium,False,True
AUTO_016,autocorona_extracted,PMID_29906039,Lipid5-LNP,,,0.081,rat plasma,,Complement C4; ApoE; Prothrombin; Fibrinogen; Complement C3; Ceruloplasmin,25,medium,False,True
AUTO_017,autocorona_extracted,PMID_28863663,DODAP-LNP,,,,human plasma,2D-PAGE,Apolipoprotein B; Alpha-2-macroglobulin; Complement C3,12,medium,False,True
AUTO_018,autocorona_extracted,PMID_28403322,DOTAP-LNP,,,,human serum,,Coagulation factor XII; Fibrinogen; Complement C1q,33,medium,False,True
AUTO_019,autocorona_extracted,PMID_30883791,Lipid5-LNP,,,0.179,,SILAC,Serotransferrin; Apolipoprotein B; Fibrinogen,18,medium,False,True
AUTO_020,autocorona_extracted,PMID_31413654,SM-102-LNP,,,,fetal bovine serum,,Complement C4; Inter-alpha-trypsin inhibitor; Kininogen; Plasminogen; Complement C3; Clusterin,18,medium,False,True
AUTO_021,autocorona_extracted,PMID_37515406,DODAP-LNP,,,0.114,mouse serum,,Inter-alpha-trypsin inhibitor; Haptoglobin; Alpha-2-macroglobulin,18,medium,False,True
