record_id,source,cell_line,IL_mol_pct,CHL_mol_pct,HL_mol_pct,PEG_mol_pct,Frac_sp3C,MW,LogP,pKa,HBD,HBA,RotBonds,TPSA,Size_nm,PDI,Zeta_mV,EE_pct,NP_ratio,efficacy
LNP_00010,Dahlman2017,A549,50.29,34.87,13.88,0.95,0.6739,746.11,8.413,6.412,2,4,12,43.14,150.5,0.1639,-3.55,93.52,17.36,Medium
LNP_00011,Kulkarni2019,A549,41.94,42.31,13.73,2.02,0.6349,565.67,6.909,6.65,2,5,11,92.1,93.3,0.0735,12.73,96.68,5.02,High
LNP_00012,Billingsley2020,PC3,47.33,42.5,8.98,1.19,0.6237,510.44,8.603,5.634,2,4,6,62.28,79.5,0.1316,5.96,85.32,16.83,Low
LNP_00013,Patel2020,RAW264.7,44.68,41.32,11.73,2.26,0.5926,705.46,9.196,6.728,2,4,18,39.78,119.8,0.1184,2.91,89.22,1.11,High
LNP_00014,Miao2020,HepG2,43.99,39.22,14.39,2.4,0.4155,449.95,11.335,6.521,0,6,10,64.78,96.9,0.1126,-10.75,92.94,3.45,Medium
LNP_00015,Billingsley2020,PC3,46.46,39.48,12.17,1.89,0.6854,525.14,7.402,7.256,1,3,13,45.01,56.5,0.0778,-3.88,96.81,2.28,High
LNP_00016,Sabnis2018,Jurkat,41.11,38.44,19.72,0.72,0.6535,704.1,8.167,6.998,3,2,8,36.21,89.7,0.0758,7.54,82.89,17.44,High
LNP_00017,Patel2020,A549,43.4,39.47,15.72,1.41,0.753,706.78,8.396,5.831,4,6,18,49.43,113.7,0.0724,-16.15,87.25,18.25,High
LNP_00018,Dahlman2017,HEK293,41.66,41.39,15.77,1.17,0.3734,753.67,8.266,7.48,0,9,12,57.61,169.2,0.0812,-5.02,84.8,14.69,Low
LNP_00019,Sabnis2018,MCF-7,49.74,32.78,15.63,1.85,0.4762,682.28,10.265,6.497,0,8,12,37.27,90.7,0.2123,1.36,93.93,15.57,Medium
LNP_00020,Kulkarni2019,Jurkat,46.92,40.51,9.92,2.65,0.5121,474.67,7.544,6.834,1,6,12,29.88,69.6,0.1567,0.96,97.65,3.77,Medium
LNP_00021,Miao2020,RAW264.7,47.19,38.05,12.33,2.43,0.4997,781.26,9.83,6.742,2,8,19,57.84,116.0,0.2227,5.96,97.35,17.07,Medium
LNP_00022,Dahlman2017,MCF-7,49.21,36.77,12.48,1.55,0.6462,545.3,9.681,5.938,3,6,15,59.17,74.1,0.0807,3.21,91.37,8.79,High
LNP_00023,Hajj2019,HeLa,53.44,33.86,11.49,1.21,0.6177,423.25,4.537,7.31,2,2,18,80.61,107.0,0.1381,-5.31,98.73,2.42,Medium
LNP_00024,Fenton2016,HepG2,46.64,39.81,11.85,1.7,0.5036,659.31,9.324,6.447,4,5,5,54.24,120.9,0.0606,8.43,99.19,9.92,Medium
LNP_00025,Kulkarni2019,HepG2,48.01,38.86,12.24,0.89,0.5977,778.44,12.972,5.671,2,8,16,71.61,74.7,0.1156,-9.76,98.59,18.49,High
LNP_00026,Hajj2019,MCF-7,47.0,36.22,15.34,1.44,0.5657,682.34,9.877,6.715,2,9,12,73.7,92.1,0.1922,-0.23,85.94,17.32,High
LNP_00027,Dahlman2017,MCF-7,42.46,39.73,16.09,1.73,0.538,780.39,8.829,7.597,3,5,9,39.42,60.6,0.1457,11.04,92.42,7.35,Medium
LNP_00028,Hajj2019,HEK293,49.12,37.75,12.31,0.82,0.5806,851.19,11.692,6.316,2,6,18,47.21,165.4,0.0811,8.47,96.44,11.06,High
LNP_00029,Dahlman2017,MCF-7,51.87,36.02,9.79,2.31,0.6662,729.14,9.776,6.275,1,5,17,57.09,122.2,0.0729,6.02,96.39,3.16,High
LNP_00030,Sabnis2018,PC3,44.03,45.86,9.06,1.05,0.5929,670.95,6.889,5.437,1,3,18,38.35,110.8,0.1662,7.69,96.88,16.79,Low
LNP_00031,Miao2020,HeLa,45.73,41.39,10.02,2.86,0.5888,935.35,6.557,6.525,2,2,17,52.28,80.3,0.1718,7.76,94.06,14.74,Low
LNP_00032,Miao2020,HEK293,47.33,40.37,8.71,3.6,0.4937,701.45,10.119,7.022,3,7,14,66.31,138.6,0.1764,5.82,82.66,11.72,Low
LNP_00033,Patel2020,MCF-7,43.2,38.04,17.76,1.0,0.6189,588.76,8.212,7.673,1,5,5,46.65,94.1,0.0638,0.34,92.58,9.32,High
LNP_00034,Kulkarni2019,RAW264.7,40.99,43.56,14.56,0.89,0.5749,422.46,8.471,6.851,3,4,19,44.66,115.7,0.0825,8.27,97.15,13.01,High
LNP_00035,Patel2020,MCF-7,43.51,43.86,10.07,2.56,0.6626,671.73,6.925,6.757,4,7,17,65.1,83.8,0.0589,7.29,96.41,19.5,Medium
LNP_00036,Kulkarni2019,HEK293,48.37,41.95,8.97,0.72,0.5049,762.87,9.293,6.92,4,5,16,76.22,105.8,0.1642,17.95,90.92,11.2,Medium
LNP_00037,Sabnis2018,HepG2,49.25,38.51,11.32,0.92,0.5483,777.73,12.317,5.727,4,4,19,60.88,76.8,0.1519,2.83,90.93,1.51,Low
LNP_00038,Billingsley2020,HepG2,44.83,40.88,13.58,0.71,0.6464,455.01,7.946,6.613,1,6,8,66.01,146.7,0.0726,-6.26,83.47,18.26,High
LNP_00039,Oberli2017,A549,41.69,41.06,15.21,2.04,0.5745,534.58,8.211,6.383,2,8,16,107.59,108.0,0.1983,6.57,96.33,1.84,Medium
LNP_00040,Oberli2017,A549,40.25,41.11,15.46,3.17,0.6123,678.23,3.488,7.601,1,2,19,64.52,111.6,0.1066,6.94,90.99,13.82,Medium
LNP_00041,Dahlman2017,HepG2,45.23,38.19,15.77,0.81,0.4668,562.98,9.438,7.003,4,5,8,8.01,158.5,0.0663,-1.63,89.75,8.61,High
LNP_00042,Miao2020,HEK293,47.32,41.9,9.41,1.36,0.4728,744.1,14.221,6.537,2,5,8,55.75,119.8,0.1676,-11.76,98.19,16.32,Medium
LNP_00043,Patel2020,MCF-7,42.59,43.4,12.61,1.4,0.7201,551.72,10.302,7.488,1,2,13,43.38,142.5,0.0821,-1.68,88.53,10.58,Medium
LNP_00044,Patel2020,RAW264.7,47.85,39.5,11.86,0.8,0.5316,774.76,7.918,6.926,4,5,11,59.93,213.4,0.1556,-1.28,95.36,10.23,Low
LNP_00045,Sabnis2018,HEK293,52.57,35.52,10.03,1.88,0.6598,571.59,10.335,6.092,4,8,6,77.21,97.2,0.1408,14.97,98.74,16.01,Medium
LNP_00046,Kauffman2015,RAW264.7,45.76,39.35,13.05,1.84,0.6541,778.54,5.396,6.171,4,6,12,85.36,82.4,0.0618,-1.42,97.77,3.13,High
LNP_00047,Fenton2016,Jurkat,48.49,34.71,15.41,1.38,0.7092,627.02,8.562,8.165,2,2,14,79.34,50.7,0.1806,-13.01,94.68,16.1,Low
LNP_00048,Miao2020,HEK293,55.15,34.37,9.44,1.03,0.4777,896.78,6.765,6.218,3,4,18,80.84,83.6,0.1363,-4.61,93.47,2.12,Medium
LNP_00049,Patel2020,A549,39.68,47.36,10.38,2.58,0.4253,717.43,12.475,5.871,1,4,8,77.66,153.5,0.1598,-2.87,88.44,5.35,Low
LNP_00050,Kulkarni2019,Jurkat,46.44,38.4,12.57,2.59,0.652,639.7,12.409,6.991,4,5,6,58.22,103.5,0.162,-2.49,93.63,5.86,Medium
LNP_00051,Sabnis2018,MCF-7,49.67,33.81,13.14,3.38,0.64,690.41,10.195,4.622,0,8,10,57.83,87.5,0.2301,-0.28,90.7,11.94,Low
LNP_00052,Patel2020,HeLa,50.17,34.02,13.77,2.03,0.7047,560.55,11.748,6.541,0,7,7,34.32,133.7,0.1641,2.15,98.0,6.09,High
LNP_00053,Billingsley2020,MCF-7,45.24,39.39,13.18,2.19,0.6134,434.36,7.931,7.041,3,9,9,57.75,124.7,0.061,4.36,98.78,18.3,High
LNP_00054,Kauffman2015,HEK293,48.16,38.71,12.3,0.83,0.4975,646.52,8.801,5.767,3,7,6,-1.77,84.5,0.0959,1.55,85.72,14.25,Medium
LNP_00055,Miao2020,MCF-7,46.47,37.03,14.34,2.16,0.4471,670.09,8.959,7.522,1,2,19,87.28,131.4,0.116,2.1,89.37,9.13,High
LNP_00056,Kulkarni2019,PC3,41.9,40.48,16.25,1.37,0.4567,677.59,5.765,7.58,3,7,13,70.7,47.4,0.1023,5.85,94.14,4.21,High
LNP_00057,Sabnis2018,HepG2,44.13,41.69,12.38,1.81,0.5547,839.38,10.477,4.447,3,5,17,60.23,136.1,0.1017,2.61,87.7,13.43,Low
LNP_00058,Dahlman2017,HEK293,48.84,38.55,10.68,1.92,0.5486,586.92,7.786,6.288,4,5,17,68.42,90.1,0.1993,1.48,91.06,9.3,Low
LNP_00059,Hajj2019,HeLa,52.2,35.31,10.62,1.87,0.6432,330.93,11.022,7.285,3,4,6,80.2,118.4,0.0659,-0.98,96.52,3.34,High
LNP_00060,Hajj2019,HEK293,44.59,40.08,13.75,1.58,0.5594,747.14,8.551,6.535,0,2,6,23.95,86.1,0.1177,-6.87,89.9,9.84,High
LNP_00061,Billingsley2020,HEK293,46.46,38.66,13.8,1.07,0.6917,832.57,9.284,6.897,4,5,19,53.78,106.4,0.0669,0.36,91.01,15.88,High
LNP_00062,Sabnis2018,HEK293,43.37,39.29,15.8,1.53,0.684,848.86,9.695,6.449,3,5,14,83.43,134.0,0.1183,9.12,96.15,6.35,High
LNP_00063,Miao2020,PC3,48.76,31.7,17.39,2.15,0.4616,754.96,12.012,6.372,4,5,7,79.84,91.5,0.1349,2.96,96.33,3.32,Low
LNP_00064,Hajj2019,HEK293,45.06,42.62,11.35,0.97,0.6741,664.63,12.067,6.353,3,9,12,53.08,94.6,0.0998,2.78,99.22,11.5,High
LNP_00065,Hajj2019,HeLa,47.65,35.43,15.08,1.85,0.7115,799.78,11.197,5.963,4,9,19,57.28,96.0,0.1206,1.29,91.73,7.91,High
LNP_00066,Dahlman2017,HeLa,47.84,38.84,10.06,3.26,0.5548,617.16,10.894,5.211,4,4,5,72.13,69.7,0.0601,5.88,93.13,1.49,Low
LNP_00067,Patel2020,RAW264.7,49.06,38.81,10.88,1.24,0.6735,400.96,9.846,6.181,1,6,19,65.8,101.2,0.1261,-7.53,88.75,2.95,High
LNP_00068,Sabnis2018,HepG2,46.3,41.5,10.88,1.33,0.6547,567.88,8.219,5.947,3,2,10,68.59,112.7,0.1549,-0.75,93.25,4.49,Low
LNP_00069,Fenton2016,HeLa,43.53,41.98,13.78,0.72,0.6095,383.11,5.859,6.38,1,5,19,63.07,104.5,0.0839,-4.45,89.63,17.95,High
LNP_00070,Sabnis2018,HepG2,48.69,33.64,15.21,2.47,0.7141,603.3,10.216,6.393,0,4,16,83.16,110.6,0.1467,3.73,88.62,5.98,Low
LNP_00071,Dahlman2017,PC3,41.08,43.77,13.93,1.22,0.5636,825.26,9.164,5.313,4,7,11,89.59,108.2,0.098,1.73,92.94,3.76,High
LNP_00072,Patel2020,HeLa,44.16,40.73,13.6,1.51,0.6538,540.56,7.997,6.62,3,7,8,55.5,125.9,0.1571,3.63,87.84,18.06,High
LNP_00073,Dahlman2017,RAW264.7,46.34,40.83,10.06,2.77,0.6948,624.66,7.98,5.84,2,4,9,25.99,89.3,0.103,-16.05,91.89,2.42,High
LNP_00074,Patel2020,Jurkat,46.8,37.94,14.44,0.82,0.5997,633.43,6.238,6.898,1,3,12,42.4,116.2,0.0999,2.01,95.18,5.07,Medium
LNP_00075,Sabnis2018,RAW264.7,40.62,44.87,12.72,1.79,0.5598,702.09,9.356,6.307,3,7,16,47.55,97.4,0.1031,1.78,84.19,14.0,Low
LNP_00076,Dahlman2017,MCF-7,51.83,35.46,11.47,1.25,0.4869,526.38,10.507,5.293,3,6,19,75.83,101.7,0.0974,3.95,86.72,16.28,Low
LNP_00077,Miao2020,RAW264.7,48.43,39.07,10.87,1.63,0.6981,510.08,10.591,6.646,2,8,13,128.35,114.7,0.1292,1.44,91.19,19.49,Medium
LNP_00078,Fenton2016,Jurkat,49.44,38.81,9.24,2.51,0.5727,525.02,7.767,6.828,4,8,7,51.92,78.7,0.0997,0.55,97.17,9.09,Medium
LNP_00079,Dahlman2017,HepG2,40.88,40.2,15.95,2.96,0.5247,538.53,10.608,7.476,2,6,18,63.4,69.9,0.0793,1.6,93.48,13.52,Low
LNP_00080,Patel2020,Jurkat,46.84,40.27,11.48,1.41,0.3742,782.91,8.544,6.663,0,6,12,56.98,130.9,0.1452,-0.96,96.21,6.96,High
LNP_00081,Fenton2016,Jurkat,51.69,35.2,12.39,0.72,0.6052,654.75,5.932,6.742,0,3,15,74.55,75.3,0.0723,11.58,84.42,4.1,High
LNP_00082,Dahlman2017,HepG2,42.6,37.83,18.98,0.58,0.57,820.58,11.113,5.79,4,6,15,98.26,135.8,0.1421,-2.02,85.47,1.8,High
LNP_00083,Patel2020,PC3,49.45,30.95,18.41,1.19,0.7281,596.79,7.091,7.812,4,2,13,51.21,135.0,0.0726,6.25,94.18,12.15,Low
LNP_00084,Sabnis2018,HEK293,58.22,30.52,9.24,2.02,0.6655,683.41,9.956,6.975,2,9,11,76.25,170.7,0.1867,-4.78,98.64,18.05,Low
LNP_00085,Fenton2016,PC3,45.43,40.3,11.51,2.76,0.5667,577.06,9.67,6.819,1,2,16,53.38,85.3,0.1119,-1.57,82.62,18.77,High
LNP_00086,Dahlman2017,HepG2,52.45,34.72,11.02,1.81,0.632,649.98,6.618,5.824,0,5,18,66.52,78.8,0.184,11.65,81.31,12.67,Medium
LNP_00087,Hajj2019,MCF-7,45.94,36.02,15.79,2.25,0.6492,678.84,6.946,6.945,0,8,10,74.18,94.0,0.0765,14.99,97.62,6.86,High
LNP_00088,Patel2020,Jurkat,46.18,40.19,12.6,1.02,0.6202,410.75,8.841,7.329,1,5,9,79.88,95.6,0.1054,5.83,86.2,10.62,Medium
LNP_00089,Patel2020,PC3,44.75,43.62,9.64,2.0,0.6502,601.29,10.146,5.217,2,4,11,78.02,66.0,0.2216,-4.45,90.35,14.24,Low
LNP_00090,Fenton2016,PC3,46.72,39.33,12.25,1.71,0.731,759.94,9.753,7.876,0,7,15,42.68,148.2,0.165,-0.0,98.05,14.54,Medium
LNP_00091,Patel2020,PC3,43.79,43.33,10.75,2.13,0.6686,820.84,8.654,7.177,1,6,11,57.53,78.1,0.1293,-2.36,95.81,6.82,High
LNP_00092,Dahlman2017,Jurkat,47.03,37.47,13.86,1.65,0.3783,696.06,10.936,7.035,3,6,5,68.24,117.5,0.0691,1.49,99.17,19.43,High
LNP_00093,Hajj2019,HepG2,47.77,38.91,11.62,1.7,0.554,397.83,7.043,6.91,2,4,19,56.78,124.4,0.0831,-6.62,93.23,17.47,High
LNP_00094,Hajj2019,MCF-7,47.05,44.09,6.94,1.91,0.4728,584.16,10.863,6.296,3,9,12,64.79,69.1,0.2508,3.27,91.54,2.73,Low
LNP_00095,Fenton2016,Jurkat,38.82,39.34,18.79,3.05,0.5884,816.24,5.788,6.13,2,2,14,70.25,138.3,0.0843,-3.18,84.28,4.16,High
LNP_00096,Oberli2017,HepG2,46.01,38.11,14.2,1.68,0.6585,837.55,7.046,4.544,4,8,19,64.17,71.3,0.1793,-13.77,87.11,2.63,Low
LNP_00097,Miao2020,PC3,48.33,38.56,11.88,1.23,0.5409,643.63,7.786,7.193,1,6,15,74.51,97.9,0.1342,-13.68,98.72,2.08,High
LNP_00098,Sabnis2018,MCF-7,46.59,39.73,12.34,1.34,0.5827,705.68,8.498,6.669,4,2,12,33.86,63.7,0.1045,-1.53,92.56,12.02,High
LNP_00099,Dahlman2017,MCF-7,48.85,36.79,12.56,1.8,0.6637,616.55,8.636,4.911,0,8,11,105.34,79.0,0.1061,-2.14,95.5,2.03,Low
LNP_00100,Sabnis2018,Jurkat,52.42,37.3,8.19,2.1,0.628,704.4,8.451,6.731,4,2,5,54.95,111.6,0.2408,6.31,91.28,10.25,Low
LNP_00101,Oberli2017,A549,43.51,36.79,18.81,0.89,0.507,528.22,9.325,7.82,4,7,8,50.81,77.9,0.0953,2.55,97.17,14.29,Medium
LNP_00102,Sabnis2018,MCF-7,42.37,38.47,17.03,2.13,0.4853,827.73,5.518,7.246,2,4,8,41.21,73.0,0.0948,-10.64,89.13,16.23,High
LNP_00103,Billingsley2020,A549,46.39,42.1,8.71,2.8,0.6995,782.7,11.009,7.174,3,7,7,100.48,100.6,0.0702,10.92,88.33,8.5,Low
LNP_00104,Dahlman2017,HepG2,45.71,41.14,12.31,0.84,0.4408,761.09,7.51,7.236,4,7,18,74.95,96.2,0.1131,1.7,87.95,7.57,Medium
LNP_00105,Dahlman2017,PC3,50.26,37.81,10.96,0.98,0.5342,814.67,9.888,6.261,0,2,12,50.9,99.3,0.1633,1.53,99.24,9.11,Medium
LNP_00106,Oberli2017,HeLa,51.07,38.72,9.24,0.97,0.657,756.11,9.27,6.413,2,6,14,57.9,65.3,0.0759,3.74,99.21,3.2,High
LNP_00107,Kauffman2015,HepG2,46.67,44.14,8.31,0.89,0.675,538.91,3.652,7.579,4,8,12,54.94,100.2,0.11,14.73,97.39,18.32,Low
LNP_00108,Kulkarni2019,Jurkat,49.66,36.5,12.62,1.22,0.6431,701.22,5.899,7.499,0,4,7,83.39,76.0,0.0793,2.5,98.18,16.38,Low
LNP_00109,Oberli2017,HepG2,44.77,41.56,12.52,1.15,0.6236,736.7,11.003,5.294,1,6,17,73.52,42.1,0.2033,-3.46,80.98,11.4,Medium
LNP_00110,Hajj2019,PC3,54.46,34.78,9.67,1.09,0.63,679.57,3.809,6.692,2,4,9,30.47,73.0,0.1263,8.43,98.77,17.28,Medium
LNP_00111,Fenton2016,PC3,49.29,32.82,15.11,2.79,0.6681,997.4,5.61,7.498,3,3,18,69.01,102.3,0.0825,-7.95,87.44,19.84,Low
LNP_00112,Kauffman2015,PC3,47.48,42.11,9.68,0.73,0.7367,488.55,7.49,6.599,3,6,6,46.59,122.8,0.1108,6.7,91.04,14.81,High
LNP_00113,Patel2020,HeLa,43.74,44.01,10.75,1.5,0.4591,444.65,7.543,5.638,4,4,10,96.31,131.3,0.2043,2.25,93.46,10.28,Low
LNP_00114,Patel2020,A549,39.59,40.05,18.14,2.22,0.568,437.81,3.219,6.879,1,8,8,65.65,102.0,0.1158,7.34,90.08,18.29,High
LNP_00115,Dahlman2017,MCF-7,37.84,47.88,12.62,1.66,0.4763,670.93,10.578,6.254,2,6,15,100.99,69.4,0.2149,2.87,94.55,18.4,Low
LNP_00116,Kulkarni2019,MCF-7,47.99,40.04,10.73,1.25,0.5034,902.87,4.187,6.666,3,4,12,65.01,123.0,0.1477,16.06,97.64,3.65,High
LNP_00117,Sabnis2018,A549,38.41,48.62,12.11,0.85,0.5742,547.87,8.829,5.812,0,5,13,91.48,120.7,0.1218,-1.91,94.11,14.06,Low
LNP_00118,Patel2020,HEK293,41.22,42.98,13.45,2.34,0.6445,471.87,5.589,6.047,4,3,12,60.33,74.8,0.1351,6.55,91.15,3.09,High
LNP_00119,Kulkarni2019,PC3,48.84,38.34,11.71,1.11,0.5878,512.6,7.956,5.42,0,5,9,52.33,71.2,0.1339,-3.06,95.33,17.97,Medium
LNP_00120,Fenton2016,PC3,44.99,37.6,12.89,4.53,0.5442,780.6,8.169,5.992,2,9,6,89.45,116.7,0.0753,2.06,90.38,3.68,Low
LNP_00121,Dahlman2017,HepG2,49.82,35.13,13.39,1.66,0.3973,622.45,9.608,7.0,2,6,5,40.35,60.1,0.0966,1.86,85.34,8.31,Medium
LNP_00122,Sabnis2018,Jurkat,45.01,42.97,10.25,1.77,0.5592,407.85,9.154,7.33,2,4,9,63.69,66.0,0.0915,8.43,98.49,8.26,High
LNP_00123,Hajj2019,RAW264.7,47.11,38.3,13.75,0.84,0.6341,624.04,11.564,6.913,3,5,19,65.69,75.9,0.0574,15.03,90.17,12.03,High
LNP_00124,Miao2020,Jurkat,48.74,35.09,14.2,1.97,0.4516,885.98,6.342,6.635,1,9,11,79.9,55.9,0.1286,-5.3,91.08,2.79,High
LNP_00125,Sabnis2018,HepG2,41.07,38.74,18.98,1.2,0.7416,497.8,8.141,7.024,3,9,18,67.5,136.9,0.0891,2.05,87.96,16.8,High
LNP_00126,Hajj2019,HepG2,49.92,37.53,11.93,0.61,0.4401,641.18,8.919,6.244,4,7,5,95.21,112.0,0.0739,6.42,89.59,3.79,Medium
LNP_00127,Kauffman2015,HeLa,42.08,40.94,15.64,1.34,0.4725,552.55,11.402,5.331,1,5,12,61.48,88.4,0.0954,10.8,81.34,4.49,Low
LNP_00128,Sabnis2018,RAW264.7,51.92,34.69,11.75,1.64,0.6801,763.5,6.528,6.213,4,5,10,56.7,112.5,0.0677,-4.73,85.68,2.38,High
LNP_00129,Sabnis2018,HeLa,42.71,44.03,12.16,1.1,0.6229,493.67,8.304,6.04,1,2,18,42.36,111.3,0.1396,-0.34,82.19,9.9,Medium
LNP_00130,Billingsley2020,PC3,45.23,44.17,9.66,0.94,0.4981,607.54,6.643,5.349,0,8,11,32.75,64.9,0.1058,10.6,93.16,6.79,Low
LNP_00131,Dahlman2017,HeLa,52.9,34.02,10.91,2.17,0.6268,679.1,9.82,5.638,3,4,14,37.44,83.6,0.0935,3.73,90.59,7.98,High
LNP_00132,Dahlman2017,RAW264.7,48.83,33.68,16.08,1.41,0.6258,700.05,9.442,5.913,4,9,9,58.15,59.9,0.1057,-5.61,97.92,8.37,High
LNP_00133,Patel2020,HepG2,49.51,39.18,9.61,1.7,0.5308,784.89,8.82,5.727,1,5,15,46.04,100.5,0.1746,1.07,85.49,4.59,Medium
LNP_00134,Dahlman2017,HepG2,55.98,33.87,8.59,1.55,0.5632,721.65,10.251,7.204,1,5,11,33.4,90.6,0.0571,5.7,90.57,1.25,Medium
LNP_00135,Sabnis2018,HepG2,48.79,40.63,9.07,1.51,0.6504,566.98,9.957,8.186,4,3,12,69.74,111.2,0.0934,-4.4,86.48,5.94,Low
LNP_00136,Miao2020,A549,43.31,41.18,14.51,1.0,0.4574,633.76,9.116,6.897,3,3,10,62.81,92.8,0.2186,6.85,86.33,19.25,Medium
LNP_00137,Miao2020,Jurkat,47.62,37.84,13.04,1.5,0.6486,639.71,11.082,5.061,0,6,5,45.61,121.7,0.2149,11.67,88.9,18.1,Low
LNP_00138,Kulkarni2019,PC3,49.14,37.05,10.79,3.02,0.5629,771.94,8.513,6.582,0,9,17,60.46,128.7,0.11,6.46,86.25,15.48,Low
LNP_00139,Kauffman2015,RAW264.7,38.78,46.14,13.31,1.77,0.6068,636.37,9.477,7.063,3,4,6,55.16,88.5,0.1834,4.97,89.15,7.5,Medium
LNP_00140,Fenton2016,HEK293,48.06,40.21,10.24,1.49,0.4477,569.16,9.763,7.115,2,2,12,50.09,70.8,0.1634,-7.96,98.1,19.38,Medium
LNP_00141,Dahlman2017,A549,43.53,42.1,12.7,1.67,0.3661,915.82,9.846,6.482,2,8,8,93.03,76.2,0.1431,2.59,92.6,2.29,Medium
LNP_00142,Dahlman2017,RAW264.7,42.69,39.76,16.04,1.51,0.7286,753.59,8.517,5.869,3,5,8,63.9,88.2,0.0904,6.0,86.56,8.53,High
LNP_00143,Miao2020,HeLa,48.38,36.04,13.68,1.9,0.6006,555.87,6.411,6.91,4,9,19,98.62,74.8,0.0935,-1.93,84.47,10.34,High
LNP_00144,Oberli2017,RAW264.7,46.31,43.76,8.77,1.16,0.6506,595.38,6.041,7.542,3,5,16,47.98,97.1,0.1301,7.96,93.32,11.06,Low
LNP_00145,Oberli2017,PC3,47.26,39.51,11.51,1.72,0.7174,882.43,9.643,6.842,0,3,15,56.47,108.0,0.0954,1.74,93.42,17.07,High
LNP_00146,Patel2020,RAW264.7,40.19,39.9,18.97,0.94,0.5225,604.2,9.893,5.982,3,7,12,62.65,133.1,0.2755,-4.59,93.86,7.56,Low
LNP_00147,Hajj2019,RAW264.7,52.75,33.74,12.32,1.19,0.6324,556.53,7.95,6.47,2,7,5,23.45,110.7,0.0995,5.36,88.27,14.23,High
LNP_00148,Sabnis2018,A549,48.75,38.06,12.34,0.85,0.4803,599.32,7.646,6.261,1,6,8,118.67,99.7,0.1945,3.55,91.44,18.07,Low
LNP_00149,Dahlman2017,HEK293,43.22,39.71,15.43,1.64,0.6656,673.59,8.921,6.75,2,2,17,55.57,93.5,0.1776,11.85,89.89,2.58,High
LNP_00150,Dahlman2017,Jurkat,49.03,36.77,13.08,1.12,0.4931,350.79,8.154,8.991,0,4,14,40.27,117.4,0.1911,6.33,90.5,8.81,Low
LNP_00151,Dahlman2017,RAW264.7,44.03,41.82,12.34,1.81,0.6437,632.02,7.898,6.987,1,3,9,65.15,141.1,0.1368,11.41,97.71,5.2,Medium
LNP_00152,Billingsley2020,A549,51.36,39.85,7.31,1.49,0.694,528.0,7.591,3.868,3,9,6,58.71,64.9,0.1285,17.86,95.16,6.01,Low
LNP_00153,Sabnis2018,HepG2,57.01,32.71,8.87,1.42,0.5451,635.67,10.051,6.289,3,8,17,59.96,138.9,0.139,6.67,88.4,19.59,Low
LNP_00154,Hajj2019,Jurkat,49.75,36.43,10.69,3.14,0.4999,652.99,5.889,7.608,1,6,9,51.91,92.0,0.0795,7.33,97.74,15.49,Low
LNP_00155,Hajj2019,HepG2,43.51,44.97,9.67,1.86,0.4782,636.35,6.648,5.683,3,7,7,59.74,109.1,0.0627,10.6,93.78,13.45,Low
LNP_00156,Patel2020,RAW264.7,47.36,36.12,14.35,2.17,0.5385,511.61,7.098,5.729,2,4,8,55.5,110.3,0.0871,10.51,87.52,18.01,High
LNP_00157,Dahlman2017,HEK293,43.42,39.57,12.73,4.28,0.5233,753.81,3.369,7.653,2,7,7,77.16,123.1,0.1274,8.99,92.27,18.21,Low
